item_id,nsn,nomenclature,category,qty_on_hand,qty_required,shortage,unit_of_issue,condition_code,serial_number,sensitivity_class,location_id,responsible_marine,last_inventoried_date,last_inventoried_iso,last_lateral_transfer_date,days_since_inventory,days_since_lateral_transfer,inventory_overdue,nmc_impacting
ITM-000011,9150-23-682-3948,"Coolant, Antifreeze, Gal",Class III — POL,34,35,1,DR,A,,HAZMAT,HAZ-Y1,"Cpl Kowalski, P.",2026-04-21,2026-04-21T11:00:00+00:00,2026-03-28,6,30,False,False
ITM-000012,5945-67-429-5778,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,23,23,0,EA,B,,ROUTINE,WHSE-A1,"Cpl Boudreau, A.",2026-03-18,2026-03-18T11:00:00+00:00,,40,9999,False,False
ITM-000013,5660-15-258-4537,"Concertina Wire, Roll",Class IV — Construction,17,17,0,BD,A,,ROUTINE,WHSE-B2,"SSgt Whitfield, T.",2026-03-30,2026-03-30T00:00:00+00:00,,28,9999,False,False
ITM-000014,2530-75-386-4950,"Tire, MTVR, 16R20",Class IX — Repair Parts,7,12,5,EA,A,,ROUTINE,WHSE-A2,"Cpl Boudreau, A.",2026-04-26,2026-04-26T00:00:00+00:00,,1,9999,False,False
ITM-000015,6505-31-492-5263,"Decompression Needle, 14ga",Class VIII — Medical,165,170,5,EA,F,,SENSITIVE,MED-CAGE,"GySgt Underwood, R.",2026-04-07,2026-04-07T12:00:00+00:00,2026-02-28,20,57,False,False
ITM-000016,8430-88-306-7936,"Shemagh, Tan",Class II — Clothing & Individual Equip,75,75,0,EA,A,,ROUTINE,WHSE-B1,"Sgt Carrillo, R.",2026-04-24,2026-04-24T16:00:00+00:00,2026-04-10,2,17,False,False
ITM-000017,6510-91-309-4751,Combat Gauze Z-Fold,Class VIII — Medical,158,158,0,EA,A,,ROUTINE,MED-CAGE,"SSgt Whitfield, T.",2026-04-07,2026-04-07T17:00:00+00:00,,19,9999,False,False
ITM-000018,6135-20-612-2697,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,13,13,0,EA,A,,ROUTINE,ARM-101,"GySgt Underwood, R.",2026-03-08,2026-03-08T19:00:00+00:00,2026-04-24,49,3,False,False
ITM-000019,5945-16-275-3150,JLTV Brake Caliper Assy,Class IX — Repair Parts,24,24,0,EA,F,,SENSITIVE,WHSE-A1,"Sgt Carrillo, R.",2026-04-09,2026-04-09T04:00:00+00:00,2026-04-25,18,2,False,True
ITM-000020,2920-35-083-9580,M-ATV Hub Assembly,Class IX — Repair Parts,24,24,0,EA,B,,ROUTINE,WHSE-B1,"GySgt Underwood, R.",2026-04-22,2026-04-22T10:00:00+00:00,,5,9999,False,False
ITM-000021,8415-12-022-4871,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,75,80,5,EA,C,,SENSITIVE,WHSE-B1,"Sgt Pham, D.",2026-04-17,2026-04-17T03:00:00+00:00,2026-03-10,10,48,False,False
ITM-000022,6135-70-111-4836,M-ATV Hub Assembly,Class IX — Repair Parts,6,6,0,EA,A,,ROUTINE,WHSE-A1,"Sgt Olufsen, K.",2025-12-23,2025-12-23T09:00:00+00:00,,125,9999,True,False
ITM-000023,2320-81-283-4871,MTVR MK23 7-ton,Class VII — Major End Items,1,0,0,EA,C,USMC-RG5VY2AX,SENSITIVE,VBAY-02,"GySgt Underwood, R.",2026-03-12,2026-03-12T06:00:00+00:00,2026-04-07,46,20,True,False
ITM-000024,8430-98-059-0097,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,37,37,0,EA,A,,SENSITIVE,WHSE-B2,"Sgt Pham, D.",2026-04-24,2026-04-24T19:00:00+00:00,,2,9999,False,False
ITM-000025,2530-54-191-1291,AN/VRC-103 Mount Kit,Class IX — Repair Parts,2,7,5,EA,F,,HAZMAT,WHSE-A2,"SSgt Whitfield, T.",2026-02-07,2026-02-07T23:00:00+00:00,2025-11-18,78,159,True,True
ITM-000026,5510-83-184-8071,"Plywood 4x8, Sheet",Class IV — Construction,14,14,0,BD,B,USMC-FUSQ97RS,CCI,WHSE-B2,"SSgt Reyes, J.",2026-04-14,2026-04-14T11:00:00+00:00,,13,9999,True,False
ITM-000027,6135-17-173-0123,JLTV Brake Caliper Assy,Class IX — Repair Parts,8,7,0,EA,B,,ROUTINE,WHSE-B1,"Cpl Boudreau, A.",2026-01-19,2026-01-19T01:00:00+00:00,2026-03-08,98,49,True,False
ITM-000028,2540-58-581-7694,"MTVR Air Filter, Element",Class IX — Repair Parts,5,5,0,EA,A,,ROUTINE,WHSE-B1,"Cpl Diallo, S.",2026-03-10,2026-03-10T06:00:00+00:00,2026-04-16,48,10,False,False
ITM-000029,6135-07-147-6675,"Tire, MTVR, 16R20",Class IX — Repair Parts,19,24,5,EA,B,,ROUTINE,WHSE-A2,"SSgt Reyes, J.",2026-04-01,2026-04-01T10:00:00+00:00,2026-02-23,26,63,False,False
ITM-000030,6135-85-601-9374,"MTVR Air Filter, Element",Class IX — Repair Parts,7,6,0,EA,B,,ROUTINE,COMSEC-1,"GySgt Underwood, R.",2026-04-21,2026-04-21T02:00:00+00:00,2026-03-24,6,34,False,False
ITM-000031,2920-59-151-5581,"MTVR Air Filter, Element",Class IX — Repair Parts,25,24,0,EA,A,,ROUTINE,WHSE-A2,"GySgt Underwood, R.",2026-04-06,2026-04-06T13:00:00+00:00,,20,9999,False,False
ITM-000032,8970-58-477-0172,UGR-A Component Pack,Class I — Subsistence,195,197,2,CS,A,,ROUTINE,WHSE-A1,"Cpl Iwamoto, K.",2026-04-09,2026-04-09T04:00:00+00:00,,18,9999,False,False
ITM-000033,8910-29-608-4585,"MRE Case, Menu B",Class I — Subsistence,145,145,0,CS,B,,ROUTINE,MED-CAGE,"Sgt Alvarado, M.",2026-04-25,2026-04-25T13:00:00+00:00,2026-04-24,1,2,False,False
ITM-000034,5855-77-187-4360,JLTV M1278A1 Heavy Gun Carrier,Class VII — Major End Items,1,1,0,EA,F,USMC-XPAHKFDB,SENSITIVE,COMSEC-1,"MSgt Quinones, V.",2026-03-08,2026-03-08T12:00:00+00:00,2026-03-25,50,33,True,True
ITM-000035,8910-19-233-0156,"MRE Case, Menu B",Class I — Subsistence,101,106,5,CS,A,,SENSITIVE,WHSE-A1,"Sgt Olufsen, K.",2026-04-19,2026-04-19T06:00:00+00:00,,8,9999,False,False
ITM-000036,5945-52-328-5346,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,4,3,0,EA,F,,SENSITIVE,WHSE-A1,"Cpl Diallo, S.",2026-03-29,2026-03-29T14:00:00+00:00,,28,9999,False,True
ITM-000037,1330-49-454-7994,"7.62 Linked M80A1, 100rd",Class V — Ammunition,44,43,0,BX,A,,ARMS,ARM-102,"Cpl Marin, L.",2026-04-05,2026-04-05T10:00:00+00:00,2026-04-20,22,6,True,False
ITM-000038,5610-18-856-1084,"Lumber 2x4x8, Bundle",Class IV — Construction,112,111,0,BD,A,,ROUTINE,WHSE-B2,"MSgt Quinones, V.",2026-04-10,2026-04-10T22:00:00+00:00,2026-04-11,16,15,False,False
ITM-000039,2540-64-698-6937,PRC-117 Battery BB-2590,Class IX — Repair Parts,1,1,0,EA,B,,ROUTINE,VBAY-03,"Cpl Iwamoto, K.",2026-03-22,2026-03-22T07:00:00+00:00,2026-01-26,36,91,False,False
ITM-000040,8470-49-309-5566,Civil Affairs Handout Kit,Class X — Non-Mil Programs,151,152,1,KT,A,,ROUTINE,WHSE-B2,"MSgt Quinones, V.",2026-03-05,2026-03-05T17:00:00+00:00,2026-04-10,52,17,False,False
ITM-000041,8415-06-786-1064,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,148,148,0,EA,C,,ROUTINE,WHSE-B1,"Cpl Iwamoto, K.",2026-03-31,2026-03-31T13:00:00+00:00,2026-04-25,26,2,False,False
ITM-000042,2540-39-912-3868,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,15,15,0,EA,B,,HAZMAT,ARM-101,"Sgt Olufsen, K.",2026-04-26,2026-04-26T17:00:00+00:00,2026-04-02,0,25,False,False
ITM-000043,8910-58-076-9698,"MRE Case, Menu B",Class I — Subsistence,181,180,0,CS,A,,SENSITIVE,WHSE-A1,"Cpl Diallo, S.",2026-03-30,2026-03-30T15:00:00+00:00,2026-03-30,27,28,False,False
ITM-000044,2540-08-947-2211,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,19,19,0,EA,B,,ROUTINE,VBAY-03,"Sgt Pham, D.",2026-04-27,2026-04-27T12:00:00+00:00,2026-03-14,0,43,False,False
ITM-000045,2540-02-829-4170,"Tire, MTVR, 16R20",Class IX — Repair Parts,5,3,0,EA,A,,ROUTINE,VBAY-03,"Sgt Alvarado, M.",2026-04-22,2026-04-22T02:00:00+00:00,2026-01-11,5,106,False,False
ITM-000046,2540-78-641-2640,"MTVR Air Filter, Element",Class IX — Repair Parts,16,21,5,EA,B,,ROUTINE,WHSE-A1,"SSgt Whitfield, T.",2026-03-22,2026-03-22T21:00:00+00:00,2026-04-08,35,18,False,False
ITM-000047,1310-20-786-2229,"12-ga 00 Buck, Case",Class V — Ammunition,24,22,0,BX,A,,ARMS,ARM-101,"SSgt Whitfield, T.",2026-04-07,2026-04-07T14:00:00+00:00,2026-02-10,19,76,True,False
ITM-000048,8915-33-115-1711,"Bottled Water, Pallet",Class I — Subsistence,145,145,0,CS,F,,ROUTINE,WHSE-A2,"SSgt Whitfield, T.",2026-04-05,2026-04-05T11:00:00+00:00,2026-01-07,22,110,False,False
ITM-000049,5510-89-744-1799,"Lumber 2x4x8, Bundle",Class IV — Construction,38,43,5,BD,B,,ROUTINE,WHSE-B2,"SSgt Whitfield, T.",2026-04-19,2026-04-19T22:00:00+00:00,,7,9999,False,False
ITM-000050,1305-74-242-7072,"M67 Frag, 4-grenade Pack",Class V — Ammunition,36,38,2,BX,A,,ARMS,ARM-101,"Cpl Kowalski, P.",2026-04-24,2026-04-24T13:00:00+00:00,,2,9999,False,False
ITM-000051,8915-96-729-3277,UGR-A Component Pack,Class I — Subsistence,17,17,0,CS,B,,HAZMAT,WHSE-A2,"Cpl Henderson, B.",2026-04-23,2026-04-23T14:00:00+00:00,2026-03-03,3,55,False,False
ITM-000052,5855-68-875-0894,MTVR MK23 7-ton,Class VII — Major End Items,1,1,0,EA,A,USMC-SX63M6KW,SENSITIVE,COMSEC-1,"Sgt Olufsen, K.",2026-03-08,2026-03-08T20:00:00+00:00,2026-03-30,49,28,True,False
ITM-000053,2320-10-827-9687,JLTV M1278A1 Heavy Gun Carrier,Class VII — Major End Items,1,1,0,EA,B,USMC-TTK9WUFL,SENSITIVE,COMSEC-1,"SSgt Whitfield, T.",2026-02-17,2026-02-17T20:00:00+00:00,2026-02-26,68,60,True,False
ITM-000054,9130-85-313-6499,Hydraulic Fluid OE-46,Class III — POL,24,26,2,DR,A,,HAZMAT,HAZ-Y1,"GySgt Underwood, R.",2026-04-13,2026-04-13T22:00:00+00:00,2026-04-06,13,21,False,False
ITM-000055,8915-08-162-0522,"Bottled Water, Pallet",Class I — Subsistence,164,164,0,CS,A,,ROUTINE,WHSE-A1,"GySgt Yelovich, M.",2026-03-20,2026-03-20T17:00:00+00:00,,37,9999,False,False
ITM-000056,2530-12-126-5523,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,6,5,0,EA,F,,ROUTINE,VBAY-03,"SSgt Reyes, J.",2025-12-01,2025-12-01T06:00:00+00:00,2026-03-11,147,47,True,True
ITM-000057,8970-85-305-0696,"MRE Case, Menu A",Class I — Subsistence,35,35,0,CS,C,,HAZMAT,WHSE-A1,"Cpl Kowalski, P.",2026-04-25,2026-04-25T20:00:00+00:00,2026-03-08,1,49,False,False
ITM-000058,8915-54-938-7851,"Coffee, Instant, Case",Class I — Subsistence,32,32,0,CS,A,,ROUTINE,WHSE-A2,"SSgt Reyes, J.",2026-03-01,2026-03-01T22:00:00+00:00,,56,9999,False,False
ITM-000059,5945-99-934-9039,"MTVR Air Filter, Element",Class IX — Repair Parts,7,7,0,EA,B,USMC-78SXWK83,CCI,VBAY-03,"Cpl Henderson, B.",2026-04-22,2026-04-22T12:00:00+00:00,2026-04-24,5,3,False,False
ITM-000060,1310-83-387-8718,"9mm Ball M1152, 50rd Box",Class V — Ammunition,12,17,5,BX,C,,ARMS,ARM-101,"Cpl Marin, L.",2026-04-20,2026-04-20T01:00:00+00:00,,7,9999,False,False
ITM-000061,2920-63-335-4125,M-ATV Hub Assembly,Class IX — Repair Parts,17,17,0,EA,A,,SENSITIVE,WHSE-A2,"Cpl Henderson, B.",2026-04-10,2026-04-10T20:00:00+00:00,2026-01-17,16,99,False,False
ITM-000062,8465-06-958-3779,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,99,97,0,EA,B,,ROUTINE,COMSEC-1,"Cpl Boudreau, A.",2025-06-30,2025-06-30T03:00:00+00:00,,301,9999,True,False
ITM-000063,2540-82-086-9412,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,21,21,0,EA,B,,ARMS,WHSE-A1,"Cpl Henderson, B.",2026-04-24,2026-04-24T14:00:00+00:00,2026-04-16,2,10,False,False
ITM-000064,8915-14-901-8964,"MRE Case, Menu A",Class I — Subsistence,46,44,0,CS,A,,ROUTINE,WHSE-A2,"Cpl Marin, L.",2026-03-30,2026-03-30T00:00:00+00:00,2026-04-20,28,7,False,False
ITM-000065,2920-08-666-3939,"MTVR Air Filter, Element",Class IX — Repair Parts,23,28,5,EA,F,,ROUTINE,WHSE-A1,"Cpl Boudreau, A.",2026-03-26,2026-03-26T11:00:00+00:00,2026-04-25,32,1,False,True
ITM-000066,8430-13-627-8111,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,22,21,0,EA,A,,ROUTINE,WHSE-B1,"Cpl Diallo, S.",2025-12-08,2025-12-08T23:00:00+00:00,2026-03-17,139,40,True,False
ITM-000067,2920-64-106-5531,"Tire, MTVR, 16R20",Class IX — Repair Parts,19,19,0,EA,B,,ROUTINE,WHSE-A2,"Cpl Marin, L.",2026-04-11,2026-04-11T17:00:00+00:00,2026-04-14,15,12,False,False
ITM-000068,5945-58-953-8173,"MTVR Air Filter, Element",Class IX — Repair Parts,7,7,0,EA,A,,ARMS,WHSE-A2,"Cpl Henderson, B.",2026-04-24,2026-04-24T09:00:00+00:00,2026-01-24,3,93,False,False
ITM-000069,2530-15-580-5213,M-ATV Hub Assembly,Class IX — Repair Parts,2,2,0,EA,B,,ROUTINE,VBAY-03,"GySgt Yelovich, M.",2026-03-30,2026-03-30T08:00:00+00:00,,28,9999,False,False
ITM-000070,2540-69-659-7517,JLTV Brake Caliper Assy,Class IX — Repair Parts,18,19,1,EA,A,,ROUTINE,WHSE-B1,"Cpl Diallo, S.",2026-03-25,2026-03-25T05:00:00+00:00,2026-04-08,33,19,False,False
ITM-000071,6135-40-797-7196,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,9,9,0,EA,B,,ROUTINE,VBAY-03,"SSgt Whitfield, T.",2026-04-21,2026-04-21T07:00:00+00:00,,6,9999,False,False
ITM-000072,2530-82-543-1875,PRC-117 Battery BB-2590,Class IX — Repair Parts,16,16,0,EA,F,,ROUTINE,WHSE-A1,"Cpl Henderson, B.",2026-04-21,2026-04-21T09:00:00+00:00,2026-03-22,6,36,False,True
ITM-000073,6545-77-437-8830,"Naloxone HCl, 4mg Nasal",Class VIII — Medical,40,41,1,EA,A,,SENSITIVE,MED-CAGE,"Cpl Henderson, B.",2026-04-15,2026-04-15T09:00:00+00:00,2026-04-24,12,3,False,False
ITM-000074,1305-62-412-8064,"9mm Ball M1152, 50rd Box",Class V — Ammunition,3,8,5,BX,A,,ROUTINE,ARM-101,"MSgt Quinones, V.",2025-11-13,2025-11-13T10:00:00+00:00,2026-04-27,165,0,True,False
ITM-000075,6135-71-763-4598,"MTVR Air Filter, Element",Class IX — Repair Parts,8,8,0,EA,A,USMC-NS4P52NR,CCI,WHSE-B1,"Cpl Boudreau, A.",2026-04-02,2026-04-02T04:00:00+00:00,2026-04-14,25,13,True,False
ITM-000076,1310-30-106-0996,"12-ga 00 Buck, Case",Class V — Ammunition,2,2,0,BX,A,,ARMS,ARM-101,"Cpl Boudreau, A.",2026-04-08,2026-04-08T20:00:00+00:00,2026-03-31,18,26,True,False
ITM-000077,1305-54-314-9560,"5.56 Ball M855, 200rd Can",Class V — Ammunition,21,21,0,BX,B,,ARMS,ARM-101,"Sgt Olufsen, K.",2026-04-26,2026-04-26T14:00:00+00:00,2026-02-08,0,77,False,False
ITM-000078,6505-43-655-5310,"Israeli Bandage 6""",Class VIII — Medical,95,95,0,EA,B,,ROUTINE,MED-CAGE,"Cpl Marin, L.",2026-03-31,2026-03-31T04:00:00+00:00,2026-04-17,27,9,False,False
ITM-000079,9150-86-106-3287,"Lubricant, GAA, Tube",Class III — POL,30,35,5,DR,A,,ROUTINE,HAZ-Y1,"GySgt Yelovich, M.",2026-04-22,2026-04-22T20:00:00+00:00,2026-03-11,4,46,False,False
ITM-000080,6135-19-265-5378,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,11,12,1,EA,A,,ROUTINE,VBAY-03,"Cpl Marin, L.",2026-02-23,2026-02-23T23:00:00+00:00,,62,9999,True,False
ITM-000081,6510-19-016-6156,"Israeli Bandage 6""",Class VIII — Medical,55,53,0,EA,B,,SENSITIVE,MED-CAGE,"Sgt Olufsen, K.",2026-04-06,2026-04-06T10:00:00+00:00,,21,9999,False,False
ITM-000082,5820-47-399-3752,AN/PEQ-15 IR Aim Light,Class VII — Major End Items,1,2,1,EA,F,USMC-ST768QE6,SENSITIVE,VBAY-02,"Cpl Henderson, B.",2026-01-04,2026-01-04T04:00:00+00:00,,113,9999,True,True
ITM-000083,6510-35-309-2031,Combat Gauze Z-Fold,Class VIII — Medical,17,17,0,EA,A,,SENSITIVE,MED-CAGE,"GySgt Underwood, R.",2026-04-10,2026-04-10T18:00:00+00:00,2026-01-21,16,96,False,False
ITM-000084,8915-55-507-9082,"Bottled Water, Pallet",Class I — Subsistence,28,28,0,CS,B,USMC-GARWJN2X,CCI,WHSE-A1,"Cpl Marin, L.",2026-04-22,2026-04-22T19:00:00+00:00,2026-04-20,4,7,False,False
ITM-000085,8465-90-728-2720,"Helmet ECH, Large",Class II — Clothing & Individual Equip,106,106,0,EA,A,,ROUTINE,WHSE-B2,"GySgt Underwood, R.",2025-05-09,2025-05-09T09:00:00+00:00,2026-01-15,353,102,True,False
ITM-000086,1330-71-720-8625,"5.56 Ball M855, 200rd Can",Class V — Ammunition,21,20,0,BX,A,,ARMS,ARM-102,"SSgt Whitfield, T.",2026-04-23,2026-04-23T04:00:00+00:00,2026-03-17,4,41,False,False
ITM-000087,1310-96-511-1705,"9mm Ball M1152, 50rd Box",Class V — Ammunition,46,45,0,BX,A,,ROUTINE,WHSE-A2,"GySgt Yelovich, M.",2026-02-07,2026-02-07T13:00:00+00:00,2026-03-18,78,40,True,False
ITM-000088,8465-08-800-0491,"Shemagh, Tan",Class II — Clothing & Individual Equip,155,160,5,EA,B,USMC-2W6S4SLE,CCI,WHSE-B2,"SSgt Reyes, J.",2026-04-12,2026-04-12T02:00:00+00:00,2025-11-06,15,172,True,False
ITM-000089,8430-14-644-6850,"Helmet ECH, Large",Class II — Clothing & Individual Equip,19,19,0,EA,A,,ROUTINE,WHSE-B1,"Cpl Boudreau, A.",2026-03-18,2026-03-18T19:00:00+00:00,2026-04-26,39,0,False,False
ITM-000090,5945-26-616-4407,JLTV Brake Caliper Assy,Class IX — Repair Parts,3,8,5,EA,B,,ROUTINE,WHSE-A2,"Cpl Diallo, S.",2026-02-28,2026-02-28T23:00:00+00:00,2026-04-25,57,2,False,False
ITM-000091,8420-91-042-1059,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,157,157,0,EA,B,,ROUTINE,WHSE-B1,"Cpl Iwamoto, K.",2025-11-30,2025-11-30T20:00:00+00:00,2026-04-07,147,20,True,False
ITM-000092,8415-29-240-8782,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,149,149,0,EA,A,,ROUTINE,WHSE-B1,"Sgt Pham, D.",2026-04-06,2026-04-06T11:00:00+00:00,2026-02-17,21,69,False,False
ITM-000093,5610-59-801-1925,Conex Liner Kit,Class IV — Construction,150,149,0,BD,A,,ROUTINE,WHSE-B2,"Sgt Pham, D.",2026-04-17,2026-04-17T20:00:00+00:00,,9,9999,False,False
ITM-000094,5660-00-187-9374,"Sandbag, Empty, Bundle",Class IV — Construction,178,178,0,BD,B,,ROUTINE,WHSE-B2,"Cpl Kowalski, P.",2026-04-10,2026-04-10T19:00:00+00:00,,16,9999,False,False
ITM-000095,5945-21-613-5811,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,25,25,0,EA,A,,ROUTINE,WHSE-B1,"SSgt Reyes, J.",2026-04-02,2026-04-02T08:00:00+00:00,2026-04-14,25,12,False,False
ITM-000096,1310-66-525-7040,"9mm Ball M1152, 50rd Box",Class V — Ammunition,38,43,5,BX,A,,ARMS,ARM-101,"MSgt Quinones, V.",2026-04-19,2026-04-19T03:00:00+00:00,2026-03-05,8,53,False,False
ITM-000097,8430-28-782-1733,"Helmet ECH, Large",Class II — Clothing & Individual Equip,190,190,0,EA,F,,ROUTINE,WHSE-B1,"Sgt Carrillo, R.",2026-04-18,2026-04-18T19:00:00+00:00,2026-04-10,8,16,False,False
ITM-000098,8915-12-014-5284,"MRE Case, Menu B",Class I — Subsistence,194,192,0,CS,B,,SENSITIVE,WHSE-A1,"Cpl Kowalski, P.",2026-03-31,2026-03-31T21:00:00+00:00,,26,9999,False,False
ITM-000099,8910-64-175-5500,"MRE Case, Menu A",Class I — Subsistence,89,88,0,CS,A,,SENSITIVE,WHSE-A1,"Sgt Carrillo, R.",2026-04-11,2026-04-11T11:00:00+00:00,2026-04-18,16,8,False,False
ITM-000100,8970-01-576-6934,UGR-A Component Pack,Class I — Subsistence,49,50,1,CS,F,,ROUTINE,WHSE-A2,"Cpl Diallo, S.",2026-04-04,2026-04-04T09:00:00+00:00,2026-03-14,23,44,False,False
ITM-000101,8420-59-461-8402,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,49,54,5,EA,A,,ROUTINE,WHSE-B2,"Cpl Iwamoto, K.",2026-02-18,2026-02-18T19:00:00+00:00,,67,9999,True,False
ITM-000102,2920-80-942-7399,"MTVR Air Filter, Element",Class IX — Repair Parts,2,4,2,EA,B,,SENSITIVE,WHSE-A2,"GySgt Yelovich, M.",2026-04-05,2026-04-05T01:00:00+00:00,2026-04-17,22,9,False,False
ITM-000103,1330-36-965-7193,"5.56 Ball M855, 200rd Can",Class V — Ammunition,21,23,2,BX,A,,ARMS,ARM-103,"Cpl Boudreau, A.",2026-04-17,2026-04-17T16:00:00+00:00,,9,9999,False,False
ITM-000104,8465-13-039-8134,"Shemagh, Tan",Class II — Clothing & Individual Equip,93,93,0,EA,A,,ROUTINE,WHSE-B2,"MSgt Quinones, V.",2026-04-20,2026-04-20T17:00:00+00:00,2026-02-16,6,70,False,False
ITM-000105,8910-56-926-8530,UGR-A Component Pack,Class I — Subsistence,134,135,1,CS,A,,SENSITIVE,MED-CAGE,"SSgt Reyes, J.",2025-10-29,2025-10-29T23:00:00+00:00,2026-03-02,179,56,True,False
ITM-000106,5610-40-546-8103,"Plywood 4x8, Sheet",Class IV — Construction,182,182,0,BD,A,,ROUTINE,WHSE-B2,"Cpl Boudreau, A.",2026-04-05,2026-04-05T07:00:00+00:00,2026-02-13,22,72,False,False
ITM-000107,2920-07-523-0793,AN/VRC-103 Mount Kit,Class IX — Repair Parts,10,15,5,EA,A,,ROUTINE,VBAY-03,"Cpl Diallo, S.",2026-04-05,2026-04-05T07:00:00+00:00,2026-04-24,22,2,False,False
ITM-000108,8465-33-785-9236,"Cold Weather Parka, Med",Class II — Clothing & Individual Equip,8,8,0,EA,A,,ROUTINE,WHSE-B1,"Sgt Alvarado, M.",2026-03-28,2026-03-28T23:00:00+00:00,2026-01-04,29,113,False,False
ITM-000109,8430-52-255-8025,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,47,47,0,EA,A,,ROUTINE,WHSE-B2,"GySgt Yelovich, M.",2026-03-13,2026-03-13T22:00:00+00:00,2026-01-04,44,113,False,False
ITM-000110,5660-04-079-0400,"Plywood 4x8, Sheet",Class IV — Construction,62,60,0,BD,B,USMC-QXLK52KH,CCI,WHSE-B2,"Cpl Diallo, S.",2026-04-22,2026-04-22T14:00:00+00:00,,4,9999,False,False
ITM-000111,5510-80-851-2713,"Concertina Wire, Roll",Class IV — Construction,60,61,1,BD,B,,SENSITIVE,ARM-102,"Sgt Carrillo, R.",2026-04-20,2026-04-20T18:00:00+00:00,,6,9999,False,False
ITM-000112,2320-27-147-2855,"M4A1 Carbine, Serialized",Class VII — Major End Items,1,1,0,EA,B,USMC-5H9YGEKJ,SENSITIVE,ARM-103,"Cpl Diallo, S.",2026-03-29,2026-03-29T23:00:00+00:00,,28,9999,False,False
