event_id,timestamp,hour,lat,lon,signal_type,mac,oui,vendor,rssi,channel,pattern
RF-004367,2026-04-26T06:05:45+00:00,6,33.212899,-117.396145,BT,F4:B8:5E:38:3C:F8,F4:B8:5E,Kontakt-io,-73,38,device_dwell_vehiclepark
RF-004262,2026-04-26T14:05:35+00:00,14,33.213041,-117.39638,BT,00:0B:7D:BF:59:E9,00:0B:7D,Garmin,-71,39,device_dwell_vehiclepark
RF-000115,2026-04-26T20:14:59+00:00,20,33.210632,-117.397164,WiFi,78:25:AD:99:E2:98,78:25:AD,Samsung,-60,36,device_dwell_gate
RF-002798,2026-04-26T15:46:14+00:00,15,33.207582,-117.398047,BT,3C:22:FB:F1:E1:9D,3C:22:FB,Apple,-74,38,mobile_transit_road
RF-004228,2026-04-26T04:48:38+00:00,4,33.212739,-117.395871,BT,F4:B8:5E:37:46:4A,F4:B8:5E,Kontakt-io,-72,37,device_dwell_vehiclepark
RF-002287,2026-04-26T07:13:57+00:00,7,33.208038,-117.397761,BT,F4:F5:D8:56:9D:6A,F4:F5:D8,Google,-71,37,mobile_transit_road
RF-004955,2026-04-26T04:34:36+00:00,4,33.209588,-117.402852,WiFi,06:11:22:87:23:72,06:11:22,Unknown,-93,40,ephemeral_perimeter_w
RF-002450,2026-04-26T18:16:41+00:00,18,33.220574,-117.390677,BT,00:12:FB:CE:50:61,00:12:FB,Samsung,-85,38,mobile_transit_road
RF-003366,2026-04-26T12:12:13+00:00,12,33.21511,-117.393738,WiFi,DC:FB:48:A4:69:30,DC:FB:48,IntelCorp,-51,48,fixed_infra_offices
RF-004793,2026-04-26T22:36:02+00:00,22,33.209533,-117.402433,WiFi,AC:67:B2:13:67:5B,AC:67:B2,Espressif,-80,149,ephemeral_perimeter_w
RF-002638,2026-04-26T19:19:24+00:00,19,33.206205,-117.399316,BT,00:1E:10:49:9B:C4,00:1E:10,Huawei,-67,39,mobile_transit_road
RF-002226,2026-04-26T08:15:24+00:00,8,33.215405,-117.393144,BT,00:12:FB:B2:3B:F9,00:12:FB,Samsung,-84,37,mobile_transit_road
RF-001466,2026-04-26T21:33:25+00:00,21,33.218447,-117.390567,WiFi,00:0B:7D:CE:D2:14,00:0B:7D,Garmin,-78,149,gathering_chow_hall
RF-000965,2026-04-26T16:42:25+00:00,16,33.218719,-117.390193,BT,94:65:2D:AD:AE:13,94:65:2D,OnePlus,-77,37,gathering_chow_hall
RF-000611,2026-04-26T01:04:30+00:00,1,33.210642,-117.397243,WiFi,78:25:AD:AC:06:B5,78:25:AD,Samsung,-63,157,device_dwell_gate
RF-001966,2026-04-26T17:54:44+00:00,17,33.218538,-117.390351,WiFi,C0:91:34:85:F2:2D,C0:91:34,Fitbit,-56,149,gathering_chow_hall
RF-003881,2026-04-26T11:43:02+00:00,11,33.207743,-117.401074,WiFi,60:A4:23:15:94:FB,60:A4:23,Bosch,-73,157,fixed_infra_motorpool
RF-004253,2026-04-26T01:20:21+00:00,1,33.21316,-117.396256,BT,00:0B:7D:29:2A:80,00:0B:7D,Garmin,-67,37,device_dwell_vehiclepark
RF-004753,2026-04-26T19:15:33+00:00,19,33.209288,-117.402521,BT,02:00:00:8C:E2:AC,02:00:00,Unknown,-84,37,ephemeral_perimeter_w
RF-002175,2026-04-26T07:57:47+00:00,7,33.212049,-117.39505,BT,00:1E:10:0D:D7:C6,00:1E:10,Huawei,-77,38,mobile_transit_road
RF-004790,2026-04-26T20:08:31+00:00,20,33.209233,-117.403108,WiFi,02:00:00:B8:46:E3,02:00:00,Unknown,-92,48,ephemeral_perimeter_w
RF-001442,2026-04-26T11:44:02+00:00,11,33.218484,-117.390707,BT,C0:91:34:32:7C:F5,C0:91:34,Fitbit,-79,37,gathering_chow_hall
RF-002094,2026-04-26T18:32:21+00:00,18,33.215365,-117.394161,BT,D0:17:6A:B2:E1:A8,D0:17:6A,Samsung,-80,38,mobile_transit_road
RF-002261,2026-04-26T16:22:38+00:00,16,33.218545,-117.392011,BT,00:12:FB:24:EB:9E,00:12:FB,Samsung,-67,38,mobile_transit_road
RF-001649,2026-04-26T15:18:45+00:00,15,33.218309,-117.390922,BT,A0:9E:1A:72:59:E1,A0:9E:1A,Polar,-57,39,gathering_chow_hall
RF-004854,2026-04-26T20:59:13+00:00,20,33.209472,-117.403287,WiFi,AC:67:B2:08:71:DB,AC:67:B2,Espressif,-93,6,ephemeral_perimeter_w
RF-001309,2026-04-26T13:37:58+00:00,13,33.218216,-117.390482,WiFi,A8:96:75:B4:90:D4,A8:96:75,Apple,-75,48,gathering_chow_hall
RF-001686,2026-04-26T13:41:09+00:00,13,33.218332,-117.390007,WiFi,00:0B:7D:8A:8D:1D,00:0B:7D,Garmin,-75,6,gathering_chow_hall
RF-001505,2026-04-26T11:46:59+00:00,11,33.218309,-117.390303,BT,F8:A4:5F:8E:44:A0,F8:A4:5F,Xiaomi,-72,37,gathering_chow_hall
RF-002444,2026-04-26T18:13:40+00:00,18,33.210695,-117.396542,BT,14:7D:DA:D6:12:FC,14:7D:DA,Google,-84,39,mobile_transit_road
RF-002975,2026-04-26T10:54:50+00:00,10,33.210768,-117.395946,BT,F4:F5:D8:9B:EC:82,F4:F5:D8,Google,-79,38,mobile_transit_road
RF-001612,2026-04-26T14:05:33+00:00,14,33.218813,-117.390666,WiFi,78:25:AD:70:34:A3,78:25:AD,Samsung,-63,149,gathering_chow_hall
RF-003155,2026-04-26T14:00:08+00:00,14,33.215024,-117.393319,WiFi,B4:FB:E4:9E:AA:3D,B4:FB:E4,Ubiquiti,-70,149,fixed_infra_offices
RF-003673,2026-04-26T14:48:28+00:00,14,33.207825,-117.400611,WiFi,00:08:54:0B:24:6E,00:08:54,Continental,-86,36,fixed_infra_motorpool
RF-002896,2026-04-26T06:36:07+00:00,6,33.211668,-117.395601,BT,94:65:2D:B6:05:D4,94:65:2D,OnePlus,-91,39,mobile_transit_road
RF-002859,2026-04-26T20:42:40+00:00,20,33.210415,-117.396894,BT,94:65:2D:F5:5E:B4,94:65:2D,OnePlus,-71,38,mobile_transit_road
RF-004727,2026-04-26T22:51:02+00:00,22,33.213911,-117.390116,BT,AC:67:B2:85:A2:90,AC:67:B2,Espressif,-85,38,ephemeral_perimeter
RF-004467,2026-04-26T11:14:25+00:00,11,33.212843,-117.396697,BT,AC:23:3F:2D:A8:43,AC:23:3F,BlueCharm,-60,37,device_dwell_vehiclepark
RF-003390,2026-04-26T08:57:50+00:00,8,33.215315,-117.394161,WiFi,E0:CB:BC:2B:56:71,E0:CB:BC,Cisco-Meraki,-52,1,fixed_infra_offices
RF-003924,2026-04-26T13:34:58+00:00,13,33.207523,-117.401031,BT,00:17:E9:D1:89:70,00:17:E9,TexasInstr,-64,37,fixed_infra_motorpool
RF-003708,2026-04-26T12:45:45+00:00,12,33.207963,-117.401294,BT,00:17:E9:D7:2C:A2,00:17:E9,TexasInstr,-60,37,fixed_infra_motorpool
RF-002632,2026-04-26T09:14:04+00:00,9,33.221481,-117.390095,BT,94:65:2D:5F:71:29,94:65:2D,OnePlus,-66,37,mobile_transit_road
RF-003884,2026-04-26T15:44:08+00:00,15,33.207431,-117.402001,BT,00:08:54:48:6B:56,00:08:54,Continental,-85,37,fixed_infra_motorpool
RF-003612,2026-04-26T10:28:02+00:00,10,33.21515,-117.394099,WiFi,00:0C:14:9C:B5:37,00:0C:14,Cisco,-60,48,fixed_infra_offices
RF-001737,2026-04-26T08:56:14+00:00,8,33.218712,-117.390397,WiFi,F4:F5:D8:F9:2C:12,F4:F5:D8,Google,-76,1,gathering_chow_hall
RF-001430,2026-04-26T12:11:54+00:00,12,33.218186,-117.390593,BT,F0:18:98:79:AF:FF,F0:18:98,Apple,-57,38,gathering_chow_hall
RF-004594,2026-04-26T12:44:36+00:00,12,33.212632,-117.390933,BT,00:1E:10:3D:8B:54,00:1E:10,Huawei,-93,39,ephemeral_perimeter
RF-000667,2026-04-26T00:55:38+00:00,0,33.210657,-117.397243,BT,F4:F5:D8:43:37:07,F4:F5:D8,Google,-58,39,device_dwell_gate
RF-000584,2026-04-26T01:36:38+00:00,1,33.210443,-117.397578,BT,C0:91:34:A5:A6:04,C0:91:34,Fitbit,-57,38,device_dwell_gate
RF-000364,2026-04-26T23:58:04+00:00,23,33.2107,-117.39725,WiFi,C0:91:34:64:14:4E,C0:91:34,Fitbit,-64,44,device_dwell_gate
RF-003745,2026-04-26T14:12:08+00:00,14,33.207974,-117.401197,WiFi,AC:67:B2:2E:D2:0F,AC:67:B2,Espressif,-66,149,fixed_infra_motorpool
RF-002257,2026-04-26T22:39:50+00:00,22,33.206555,-117.399472,BT,14:7D:DA:89:EA:35,14:7D:DA,Google,-88,39,mobile_transit_road
RF-001415,2026-04-26T11:55:47+00:00,11,33.218493,-117.390469,WiFi,00:0B:7D:FC:57:0A,00:0B:7D,Garmin,-57,44,gathering_chow_hall
RF-003028,2026-04-26T12:50:27+00:00,12,33.215422,-117.39421,WiFi,00:0C:14:D1:4D:ED,00:0C:14,Cisco,-68,149,fixed_infra_offices
RF-001674,2026-04-26T12:23:35+00:00,12,33.218616,-117.390112,BT,A0:9E:1A:6D:01:28,A0:9E:1A,Polar,-67,37,gathering_chow_hall
RF-004584,2026-04-26T05:27:27+00:00,5,33.212778,-117.390477,BT,AC:67:B2:74:85:6F,AC:67:B2,Espressif,-82,38,ephemeral_perimeter
RF-002758,2026-04-26T08:30:44+00:00,8,33.205513,-117.399132,WiFi,78:25:AD:5F:BF:87,78:25:AD,Samsung,-84,36,mobile_transit_road
RF-002298,2026-04-26T06:53:30+00:00,6,33.210505,-117.396159,WiFi,14:7D:DA:A3:04:58,14:7D:DA,Google,-88,157,mobile_transit_road
RF-002649,2026-04-26T18:50:42+00:00,18,33.210962,-117.39572,WiFi,3C:22:FB:3B:1B:4F,3C:22:FB,Apple,-79,149,mobile_transit_road
RF-001195,2026-04-26T15:00:08+00:00,15,33.218423,-117.390208,WiFi,94:65:2D:F3:AE:80,94:65:2D,OnePlus,-70,48,gathering_chow_hall
RF-001508,2026-04-26T11:26:36+00:00,11,33.218341,-117.391017,BT,00:0B:7D:34:B4:EA,00:0B:7D,Garmin,-62,39,gathering_chow_hall
RF-003640,2026-04-26T12:59:23+00:00,12,33.215245,-117.394003,WiFi,94:F6:65:66:A4:A9,94:F6:65,Ruckus,-65,40,fixed_infra_offices
RF-002026,2026-04-26T08:10:34+00:00,8,33.212338,-117.395828,WiFi,00:1E:10:58:75:8E,00:1E:10,Huawei,-83,149,mobile_transit_road
RF-001876,2026-04-26T11:30:43+00:00,11,33.218556,-117.390671,WiFi,C0:91:34:E0:D4:EC,C0:91:34,Fitbit,-69,11,gathering_chow_hall
RF-004756,2026-04-26T14:18:16+00:00,14,33.209126,-117.402283,BT,AC:67:B2:EC:B3:77,AC:67:B2,Espressif,-92,37,ephemeral_perimeter_w
RF-001736,2026-04-26T19:19:58+00:00,19,33.218898,-117.390401,WiFi,00:0B:7D:D7:B3:5A,00:0B:7D,Garmin,-69,157,gathering_chow_hall
RF-001405,2026-04-26T16:52:33+00:00,16,33.218212,-117.39019,BT,14:7D:DA:0B:5A:53,14:7D:DA,Google,-76,37,gathering_chow_hall
RF-004294,2026-04-26T13:37:17+00:00,13,33.212589,-117.396258,BT,00:0B:7D:DC:64:49,00:0B:7D,Garmin,-75,39,device_dwell_vehiclepark
RF-002686,2026-04-26T17:50:15+00:00,17,33.221019,-117.389493,WiFi,F8:A4:5F:C0:0C:1C,F8:A4:5F,Xiaomi,-90,149,mobile_transit_road
RF-001054,2026-04-26T14:08:26+00:00,14,33.218411,-117.390157,WiFi,F0:18:98:9C:36:9D,F0:18:98,Apple,-70,48,gathering_chow_hall
RF-004928,2026-04-26T09:43:45+00:00,9,33.210435,-117.402911,BT,02:00:00:FB:57:3E,02:00:00,Unknown,-83,38,ephemeral_perimeter_w
RF-001439,2026-04-26T10:28:28+00:00,10,33.218074,-117.390743,BT,94:65:2D:B7:CA:EB,94:65:2D,OnePlus,-80,37,gathering_chow_hall
RF-003553,2026-04-26T10:37:04+00:00,10,33.214799,-117.394174,WiFi,00:0C:14:4D:FA:6B,00:0C:14,Cisco,-51,6,fixed_infra_offices
RF-001908,2026-04-26T09:48:19+00:00,9,33.218554,-117.390243,BT,14:7D:DA:2A:31:28,14:7D:DA,Google,-81,38,gathering_chow_hall
RF-001943,2026-04-26T08:34:54+00:00,8,33.218622,-117.390986,WiFi,F8:A4:5F:D2:AD:5B,F8:A4:5F,Xiaomi,-57,36,gathering_chow_hall
RF-004464,2026-04-26T23:48:35+00:00,23,33.212804,-117.396287,WiFi,F0:35:75:E7:72:FD,F0:35:75,Estimote,-78,40,device_dwell_vehiclepark
RF-001820,2026-04-26T08:15:18+00:00,8,33.218628,-117.390222,BT,A8:96:75:F8:C3:8C,A8:96:75,Apple,-75,39,gathering_chow_hall
RF-002316,2026-04-26T19:04:31+00:00,19,33.219156,-117.390595,WiFi,A8:96:75:3A:2D:20,A8:96:75,Apple,-76,157,mobile_transit_road
RF-003541,2026-04-26T06:43:50+00:00,6,33.215195,-117.393904,WiFi,94:B4:0F:EA:47:7B,94:B4:0F,Aruba,-72,40,fixed_infra_offices
RF-001355,2026-04-26T10:50:04+00:00,10,33.218699,-117.39027,BT,A0:9E:1A:2E:CE:C1,A0:9E:1A,Polar,-65,38,gathering_chow_hall
RF-001402,2026-04-26T11:08:21+00:00,11,33.218635,-117.390601,BT,00:12:FB:33:4D:B3,00:12:FB,Samsung,-64,39,gathering_chow_hall
RF-003392,2026-04-26T11:40:04+00:00,11,33.21503,-117.393988,WiFi,F8:E4:FB:13:37:77,F8:E4:FB,Microsoft,-67,40,fixed_infra_offices
RF-003256,2026-04-26T16:34:21+00:00,16,33.215309,-117.394384,WiFi,94:F6:65:95:FA:35,94:F6:65,Ruckus,-67,1,fixed_infra_offices
RF-003690,2026-04-26T09:26:47+00:00,9,33.208056,-117.401104,WiFi,AC:23:3F:8E:6F:6E,AC:23:3F,BlueCharm,-83,44,fixed_infra_motorpool
RF-002483,2026-04-26T17:37:18+00:00,17,33.204833,-117.398759,WiFi,00:1E:10:65:73:8C,00:1E:10,Huawei,-88,157,mobile_transit_road
RF-004759,2026-04-26T00:03:39+00:00,0,33.209509,-117.403123,BT,06:11:22:81:AD:5C,06:11:22,Unknown,-85,37,ephemeral_perimeter_w
RF-000614,2026-04-26T09:35:59+00:00,9,33.210704,-117.397297,BT,F0:18:98:BF:EA:98,F0:18:98,Apple,-66,37,device_dwell_gate
RF-002369,2026-04-26T18:39:26+00:00,18,33.22202,-117.389782,BT,F8:A4:5F:FE:39:BE,F8:A4:5F,Xiaomi,-76,38,mobile_transit_road
RF-003357,2026-04-26T23:19:50+00:00,23,33.215223,-117.393908,WiFi,B4:FB:E4:DC:07:F0,B4:FB:E4,Ubiquiti,-49,6,fixed_infra_offices
RF-001401,2026-04-26T13:58:08+00:00,13,33.218355,-117.389976,BT,A0:9E:1A:2C:75:27,A0:9E:1A,Polar,-72,38,gathering_chow_hall
RF-003623,2026-04-26T07:58:50+00:00,7,33.215245,-117.394031,WiFi,94:F6:65:CF:8C:F4,94:F6:65,Ruckus,-69,11,fixed_infra_offices
RF-002291,2026-04-26T17:30:08+00:00,17,33.212676,-117.394813,BT,94:65:2D:F6:87:01,94:65:2D,OnePlus,-76,39,mobile_transit_road
RF-002521,2026-04-26T17:31:26+00:00,17,33.219741,-117.390826,WiFi,14:7D:DA:85:7A:16,14:7D:DA,Google,-65,149,mobile_transit_road
RF-004685,2026-04-26T19:53:14+00:00,19,33.21322,-117.389682,BT,AC:67:B2:52:8D:F7,AC:67:B2,Espressif,-90,39,ephemeral_perimeter
RF-000470,2026-04-26T05:24:33+00:00,5,33.210501,-117.39701,WiFi,F0:35:75:B9:08:29,F0:35:75,Estimote,-76,44,device_dwell_gate
RF-002610,2026-04-26T17:51:33+00:00,17,33.221607,-117.389409,BT,00:1E:10:A7:F8:48,00:1E:10,Huawei,-84,39,mobile_transit_road
RF-004522,2026-04-26T00:11:51+00:00,0,33.212473,-117.390116,WiFi,AC:67:B2:57:00:E8,AC:67:B2,Espressif,-84,48,ephemeral_perimeter
RF-000725,2026-04-26T18:35:15+00:00,18,33.210599,-117.397305,WiFi,C0:91:34:57:F6:5C,C0:91:34,Fitbit,-77,44,device_dwell_gate
RF-003659,2026-04-26T11:22:58+00:00,11,33.207715,-117.401595,WiFi,F4:B8:5E:6B:BF:5F,F4:B8:5E,Kontakt-io,-76,149,fixed_infra_motorpool
RF-003986,2026-04-26T09:20:03+00:00,9,33.207625,-117.401065,BT,AC:67:B2:F6:D9:AC,AC:67:B2,Espressif,-70,39,fixed_infra_motorpool
RF-000201,2026-04-26T08:29:22+00:00,8,33.210697,-117.397096,BT,00:12:FB:B0:B6:1B,00:12:FB,Samsung,-63,38,device_dwell_gate
RF-004771,2026-04-26T21:07:13+00:00,21,33.209715,-117.40377,WiFi,AC:67:B2:E1:83:0B,AC:67:B2,Espressif,-94,149,ephemeral_perimeter_w
RF-000606,2026-04-26T07:47:34+00:00,7,33.210497,-117.39726,BT,14:7D:DA:81:72:24,14:7D:DA,Google,-77,37,device_dwell_gate
RF-003662,2026-04-26T10:11:45+00:00,10,33.207708,-117.401293,BT,60:A4:23:6D:D0:07,60:A4:23,Bosch,-60,37,fixed_infra_motorpool
RF-001746,2026-04-26T09:01:25+00:00,9,33.218338,-117.390551,WiFi,A8:96:75:C4:0F:90,A8:96:75,Apple,-70,48,gathering_chow_hall
RF-003082,2026-04-26T17:15:56+00:00,17,33.214856,-117.394295,WiFi,94:F6:65:1C:5C:1A,94:F6:65,Ruckus,-57,40,fixed_infra_offices
RF-003422,2026-04-26T11:35:02+00:00,11,33.215063,-117.39404,WiFi,94:F6:65:BE:B1:92,94:F6:65,Ruckus,-66,11,fixed_infra_offices
RF-002394,2026-04-26T18:14:27+00:00,18,33.216016,-117.392869,BT,F8:A4:5F:5D:D3:3E,F8:A4:5F,Xiaomi,-66,39,mobile_transit_road
RF-004347,2026-04-26T11:07:22+00:00,11,33.21275,-117.396447,BT,00:0B:7D:40:EA:AC,00:0B:7D,Garmin,-69,38,device_dwell_vehiclepark
RF-000844,2026-04-26T21:11:17+00:00,21,33.210534,-117.397118,BT,78:25:AD:36:F2:B5,78:25:AD,Samsung,-75,39,device_dwell_gate
RF-003850,2026-04-26T05:54:02+00:00,5,33.207614,-117.401883,WiFi,F4:B8:5E:48:DD:BD,F4:B8:5E,Kontakt-io,-82,36,fixed_infra_motorpool
RF-002109,2026-04-26T08:48:09+00:00,8,33.210323,-117.396424,BT,F8:A4:5F:1E:FA:BE,F8:A4:5F,Xiaomi,-74,39,mobile_transit_road
RF-001235,2026-04-26T14:37:27+00:00,14,33.218212,-117.390165,WiFi,3C:22:FB:1F:BB:3F,3C:22:FB,Apple,-55,1,gathering_chow_hall
RF-004909,2026-04-26T23:29:50+00:00,23,33.209763,-117.403673,WiFi,AC:67:B2:EF:B4:79,AC:67:B2,Espressif,-90,149,ephemeral_perimeter_w
RF-003319,2026-04-26T14:34:14+00:00,14,33.214743,-117.393937,WiFi,94:F6:65:9E:E8:20,94:F6:65,Ruckus,-71,36,fixed_infra_offices
RF-003208,2026-04-26T12:28:14+00:00,12,33.215086,-117.394016,WiFi,B4:FB:E4:A2:D9:DB,B4:FB:E4,Ubiquiti,-53,44,fixed_infra_offices
RF-002891,2026-04-26T07:25:39+00:00,7,33.20925,-117.396767,BT,A8:96:75:CF:4F:94,A8:96:75,Apple,-80,37,mobile_transit_road
RF-000100,2026-04-26T13:34:29+00:00,13,33.210473,-117.396805,BT,F0:35:75:A9:D3:35,F0:35:75,Estimote,-56,37,device_dwell_gate
RF-002685,2026-04-26T13:14:26+00:00,13,33.208475,-117.396916,WiFi,F8:A4:5F:23:67:B1,F8:A4:5F,Xiaomi,-72,40,mobile_transit_road
RF-000527,2026-04-26T20:23:21+00:00,20,33.210644,-117.397121,WiFi,AC:67:B2:3E:16:43,AC:67:B2,Espressif,-70,40,device_dwell_gate
RF-000550,2026-04-26T04:32:52+00:00,4,33.210655,-117.397299,BT,AC:67:B2:20:58:46,AC:67:B2,Espressif,-66,39,device_dwell_gate
RF-001599,2026-04-26T14:05:39+00:00,14,33.218608,-117.390113,WiFi,A0:9E:1A:9F:67:6D,A0:9E:1A,Polar,-70,44,gathering_chow_hall
RF-004457,2026-04-26T07:48:58+00:00,7,33.212548,-117.396049,BT,F4:B8:5E:34:0B:EE,F4:B8:5E,Kontakt-io,-68,39,device_dwell_vehiclepark
RF-000938,2026-04-26T13:08:22+00:00,13,33.218565,-117.390877,BT,14:7D:DA:E5:56:98,14:7D:DA,Google,-52,39,gathering_chow_hall
RF-003689,2026-04-26T14:06:52+00:00,14,33.207431,-117.40074,BT,00:08:54:91:F7:07,00:08:54,Continental,-81,39,fixed_infra_motorpool
RF-002936,2026-04-26T10:58:17+00:00,10,33.220109,-117.390625,BT,00:12:FB:F9:E5:77,00:12:FB,Samsung,-71,37,mobile_transit_road
RF-004364,2026-04-26T02:44:21+00:00,2,33.212612,-117.396382,BT,F0:35:75:48:61:3D,F0:35:75,Estimote,-69,37,device_dwell_vehiclepark
RF-002225,2026-04-26T09:19:20+00:00,9,33.21535,-117.393843,WiFi,14:7D:DA:EB:F2:7D,14:7D:DA,Google,-74,11,mobile_transit_road
RF-003412,2026-04-26T19:26:22+00:00,19,33.214978,-117.393979,WiFi,F8:E4:FB:55:E0:DE,F8:E4:FB,Microsoft,-69,149,fixed_infra_offices
RF-003307,2026-04-26T09:32:30+00:00,9,33.215106,-117.394225,WiFi,F8:E4:FB:63:56:C7,F8:E4:FB,Microsoft,-56,149,fixed_infra_offices
RF-004186,2026-04-26T13:20:37+00:00,13,33.21273,-117.396089,BT,F0:35:75:42:C8:46,F0:35:75,Estimote,-59,37,device_dwell_vehiclepark
RF-004057,2026-04-26T14:03:21+00:00,14,33.207913,-117.401041,WiFi,AC:23:3F:5D:30:FC,AC:23:3F,BlueCharm,-85,11,fixed_infra_motorpool
RF-003386,2026-04-26T09:48:53+00:00,9,33.214954,-117.394375,WiFi,00:0C:14:08:DA:EC,00:0C:14,Cisco,-72,48,fixed_infra_offices
RF-003811,2026-04-26T16:13:58+00:00,16,33.207517,-117.401437,BT,60:A4:23:3E:95:B0,60:A4:23,Bosch,-82,37,fixed_infra_motorpool
RF-004371,2026-04-26T20:22:45+00:00,20,33.212598,-117.396352,BT,F0:35:75:EF:70:AB,F0:35:75,Estimote,-67,38,device_dwell_vehiclepark
RF-000351,2026-04-26T00:50:29+00:00,0,33.210885,-117.397365,WiFi,F0:35:75:F0:7E:E1,F0:35:75,Estimote,-77,44,device_dwell_gate
RF-004170,2026-04-26T01:59:26+00:00,1,33.212875,-117.396136,BT,F0:35:75:7B:96:07,F0:35:75,Estimote,-64,39,device_dwell_vehiclepark
RF-002423,2026-04-26T17:25:47+00:00,17,33.222454,-117.389758,WiFi,94:65:2D:68:54:81,94:65:2D,OnePlus,-80,1,mobile_transit_road
RF-004971,2026-04-26T22:02:34+00:00,22,33.20974,-117.403531,WiFi,02:00:00:58:F2:3F,02:00:00,Unknown,-85,40,ephemeral_perimeter_w
