item_id,nsn,nomenclature,fsc,qty_on_hand,qty_required,shortage,condition_code,location_id,responsible_marine,last_inventoried_date,days_since_inventory,unit_price_usd
ITM-1000014,2940-01-413-1984,Engine air filter element (HMMWV),2940,97,49,0,A,BIC-CAGE-A,"Cpl Henderson, B.",2026-04-22,5,58
ITM-1000015,2930-01-477-0631,Fuel filter / water separator (MTVR),2930,79,39,0,B,BIC-CAGE-A,"Sgt Carrillo, R.",2026-04-13,14,47
ITM-1000016,4720-01-471-9951,High-pressure hydraulic hose 1/2 in. (M88A2),4720,51,26,0,A,WHSE-A1-ALB,"Sgt Pham, D.",2026-04-23,4,95
ITM-1000017,4720-01-329-4512,Coolant hose (MTVR engine),4720,53,37,0,B,WHSE-B1-ALB,"MSgt Quinones, V.",2026-04-15,12,38
ITM-1000018,1680-01-651-2244,"Prop rotor blade, MV-22 (composite)",1680,21,10,0,B,VBAY-01-BAR,"Sgt Carrillo, R.",2026-03-26,32,28500
ITM-1000019,2935-01-510-9923,"Fuel control, MV-22 engine",2935,12,8,0,F,WHSE-B1-ALB,"GySgt Underwood, R.",2026-03-24,34,12400
ITM-1000020,4730-01-441-2298,"Hydraulic seal kit, lift assy",4730,16,13,0,A,WHSE-B2-BAR,"SSgt Whitfield, T.",2026-04-08,19,240
ITM-1000021,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",5305,97,48,0,H,WHSE-C1-ALB,"Sgt Pham, D.",2026-04-15,12,2
ITM-1000022,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),5306,46,30,0,A,WHSE-A1-ALB,"Sgt Pham, D.",2026-04-16,11,3
ITM-1000023,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),6140,67,52,0,A,BIC-WHSE-2,"MSgt Quinones, V.",2026-02-06,80,138
ITM-1000024,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",5995,47,40,0,A,VBAY-01-BAR,"SSgt Reyes, J.",2026-02-08,78,84
ITM-1000025,2610-01-561-7748,Radial tire 395/85R20 (MTVR),2610,66,54,0,B,WHSE-A2-ALB,"GySgt Underwood, R.",2026-02-21,65,690
ITM-1000026,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2610,69,53,0,A,WHSE-A2-ALB,"Sgt Carrillo, R.",2026-03-08,50,540
ITM-1000027,2540-01-565-2210,Ballistic glass window panel (JLTV),2540,7,5,0,C,VBAY-01-BAR,"Sgt Carrillo, R.",2026-02-09,77,2400
ITM-1000028,1240-01-602-7715,"Optical sight assembly, M1A1",1240,19,12,0,A,WHSE-A1-ALB,"Cpl Henderson, B.",2026-02-09,77,18500
ITM-1000029,2895-01-462-3318,Winch cable assembly 200ft (M88A2),2895,49,30,0,H,BIC-CAGE-A,"SSgt Reyes, J.",2026-02-09,77,410
ITM-1000030,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),2815,30,45,15,B,BIC-WHSE-1,"Sgt Alvarado, M.",2026-03-23,35,220
ITM-1000031,5965-01-411-7783,Intercom headset H-250/U,5965,59,42,0,B,VBAY-01-BAR,"GySgt Underwood, R.",2026-03-24,34,165
ITM-1000032,6135-01-301-8776,BA-5590 lithium primary battery (radio),6135,31,50,19,A,WHSE-A1-ALB,"Cpl Boudreau, A.",2026-03-23,35,26
ITM-1000033,2810-01-501-9928,Caterpillar C-12 engine assembly (MTVR rebuild),2810,18,9,0,C,BIC-WHSE-1,"GySgt Underwood, R.",2026-03-22,36,47800
ITM-1000034,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",3040,2,7,5,H,BIC-WHSE-2,"Cpl Henderson, B.",2026-02-28,58,8900
ITM-1000035,5340-01-122-4419,"Bracket, armor liner",5340,101,50,0,H,WHSE-A1-BAR,"Sgt Alvarado, M.",2026-03-10,48,95
ITM-1000036,1730-01-498-7102,"Hydraulic actuator, ramp assy (AAV)",1730,17,10,0,A,WHSE-A1-ALB,"Cpl Boudreau, A.",2026-02-24,62,1180
ITM-1000037,2540-01-572-3041,"Seat, armored crew (driver)",2540,58,30,0,A,BIC-WHSE-2,"MSgt Quinones, V.",2026-03-11,47,2240
ITM-1000038,6130-01-651-1182,"Power distribution unit, vehicle",6130,27,47,20,H,WHSE-B2-BAR,"Cpl Iwamoto, K.",2026-03-19,39,1410
ITM-1000039,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",3110,71,35,0,A,VBAY-01-BAR,"SSgt Reyes, J.",2026-04-12,15,387
ITM-1000040,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",3110,78,42,0,A,WHSE-A2-ALB,"Cpl Boudreau, A.",2026-03-03,55,512
ITM-1000041,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",3110,7,9,2,B,WHSE-B1-ALB,"Cpl Iwamoto, K.",2026-04-13,14,622
ITM-1000042,3110-01-413-2691,"Bearing, Final Drive Pinion (AAV-7A1)",3110,3,13,10,A,WHSE-B1-ALB,"Cpl Diallo, S.",2026-03-26,32,745
ITM-1000043,3110-01-617-8013,"Bearing, Prop Rotor Hub (MV-22)",3110,17,13,0,F,WHSE-A1-ALB,"GySgt Underwood, R.",2026-04-04,23,4280
ITM-1000044,2530-01-621-3107,Brake rotor (MTVR),2530,82,41,0,F,BIC-WHSE-2,"Cpl Henderson, B.",2026-03-02,56,215
ITM-1000045,2530-01-487-5511,Hydraulic brake caliper (JLTV),2530,71,41,0,H,WHSE-A2-ALB,"GySgt Underwood, R.",2026-04-07,20,320
ITM-1000046,2530-01-356-7711,Power steering pump (MTVR),2530,80,53,0,C,WHSE-A1-ALB,"Cpl Iwamoto, K.",2026-03-10,48,1180
ITM-1000047,2520-01-365-7104,Drive shaft U-joint (MTVR),2520,49,43,0,B,WHSE-B2-BAR,"MSgt Quinones, V.",2026-03-21,37,175
ITM-1000048,2520-01-528-3166,Torque converter (JLTV),2520,8,10,2,C,WHSE-B1-ALB,"Cpl Diallo, S.",2026-02-06,80,2900
ITM-1000049,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",2520,19,11,0,A,WHSE-B2-BAR,"SSgt Whitfield, T.",2026-03-17,41,3450
ITM-1000050,2920-01-446-5219,Alternator 200A 28V (MTVR),2920,73,56,0,A,WHSE-C1-ALB,"Cpl Diallo, S.",2026-04-11,16,410
ITM-1000051,2920-01-396-9234,Starter motor 24V (HMMWV/MTVR),2920,37,36,0,B,WHSE-A1-ALB,"Cpl Iwamoto, K.",2026-02-06,80,605
ITM-1000052,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2940,82,41,0,B,WHSE-B1-ALB,"GySgt Underwood, R.",2026-02-18,68,24
ITM-1000053,2940-01-413-1984,Engine air filter element (HMMWV),2940,91,45,0,F,WHSE-A1-BAR,"SSgt Whitfield, T.",2026-03-08,50,58
ITM-1000054,2930-01-477-0631,Fuel filter / water separator (MTVR),2930,57,45,0,A,VBAY-01-BAR,"Cpl Boudreau, A.",2026-03-20,38,47
ITM-1000055,4720-01-471-9951,High-pressure hydraulic hose 1/2 in. (M88A2),4720,94,47,0,H,WHSE-A2-ALB,"Sgt Carrillo, R.",2026-03-22,36,95
ITM-1000056,4720-01-329-4512,Coolant hose (MTVR engine),4720,71,35,0,H,BIC-CAGE-A,"Cpl Iwamoto, K.",2026-02-12,74,38
ITM-1000057,1680-01-651-2244,"Prop rotor blade, MV-22 (composite)",1680,12,11,0,F,BIC-WHSE-1,"Sgt Carrillo, R.",2026-03-07,51,28500
ITM-1000058,2935-01-510-9923,"Fuel control, MV-22 engine",2935,21,10,0,B,WHSE-C1-ALB,"Cpl Henderson, B.",2026-02-11,75,12400
ITM-1000059,4730-01-441-2298,"Hydraulic seal kit, lift assy",4730,19,11,0,C,WHSE-A1-ALB,"Sgt Alvarado, M.",2026-04-16,11,240
ITM-1000060,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",5305,67,33,0,A,WHSE-A1-BAR,"Sgt Carrillo, R.",2026-03-30,28,2
ITM-1000061,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),5306,45,22,0,A,WHSE-B1-ALB,"Cpl Iwamoto, K.",2026-03-05,53,3
ITM-1000062,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),6140,82,41,0,B,WHSE-A1-BAR,"Sgt Alvarado, M.",2026-03-05,53,138
ITM-1000063,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",5995,28,25,0,B,WHSE-A2-ALB,"Cpl Henderson, B.",2026-02-15,71,84
ITM-1000064,2610-01-561-7748,Radial tire 395/85R20 (MTVR),2610,82,73,0,A,WHSE-B1-ALB,"Sgt Pham, D.",2026-03-12,46,690
ITM-1000065,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2610,104,52,0,H,BIC-WHSE-1,"Cpl Diallo, S.",2026-02-22,64,540
ITM-1000066,2540-01-565-2210,Ballistic glass window panel (JLTV),2540,19,9,0,F,BIC-WHSE-2,"Sgt Carrillo, R.",2026-02-10,76,2400
ITM-1000067,1240-01-602-7715,"Optical sight assembly, M1A1",1240,19,9,0,A,WHSE-A2-ALB,"GySgt Underwood, R.",2026-02-17,69,18500
ITM-1000068,2895-01-462-3318,Winch cable assembly 200ft (M88A2),2895,40,41,1,A,WHSE-B2-BAR,"Sgt Alvarado, M.",2026-03-07,51,410
ITM-1000069,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),2815,33,27,0,H,WHSE-B1-ALB,"SSgt Whitfield, T.",2026-04-24,3,220
ITM-1000070,5965-01-411-7783,Intercom headset H-250/U,5965,26,36,10,B,WHSE-A2-ALB,"SSgt Reyes, J.",2026-02-08,78,165
ITM-1000071,6135-01-301-8776,BA-5590 lithium primary battery (radio),6135,46,43,0,A,BIC-WHSE-1,"Cpl Henderson, B.",2026-03-11,47,26
ITM-1000072,2810-01-501-9928,Caterpillar C-12 engine assembly (MTVR rebuild),2810,13,10,0,B,WHSE-A1-ALB,"Sgt Pham, D.",2026-03-25,33,47800
ITM-1000073,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",3040,18,9,0,B,WHSE-A2-ALB,"Cpl Iwamoto, K.",2026-03-14,44,8900
ITM-1000074,5340-01-122-4419,"Bracket, armor liner",5340,45,40,0,C,WHSE-B1-ALB,"SSgt Whitfield, T.",2026-02-08,78,95
ITM-1000075,1730-01-498-7102,"Hydraulic actuator, ramp assy (AAV)",1730,24,12,0,B,WHSE-A1-ALB,"Sgt Pham, D.",2026-03-06,52,1180
ITM-1000076,2540-01-572-3041,"Seat, armored crew (driver)",2540,38,37,0,F,WHSE-B1-ALB,"Cpl Boudreau, A.",2026-03-04,54,2240
ITM-1000077,6130-01-651-1182,"Power distribution unit, vehicle",6130,75,37,0,H,WHSE-C1-ALB,"MSgt Quinones, V.",2026-02-13,73,1410
ITM-1000078,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",3110,85,42,0,A,VBAY-01-BAR,"SSgt Whitfield, T.",2026-04-21,6,387
ITM-1000079,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",3110,34,38,4,H,WHSE-A1-BAR,"Cpl Diallo, S.",2026-02-27,59,512
ITM-1000080,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",3110,11,11,0,B,WHSE-A2-ALB,"Cpl Iwamoto, K.",2026-03-14,44,622
ITM-1000081,3110-01-413-2691,"Bearing, Final Drive Pinion (AAV-7A1)",3110,5,6,1,A,VBAY-01-BAR,"Sgt Pham, D.",2026-04-12,15,745
ITM-1000082,3110-01-617-8013,"Bearing, Prop Rotor Hub (MV-22)",3110,8,8,0,A,WHSE-A1-BAR,"Cpl Boudreau, A.",2026-04-04,23,4280
ITM-1000083,2530-01-621-3107,Brake rotor (MTVR),2530,30,37,7,A,VBAY-01-BAR,"Cpl Henderson, B.",2026-04-09,18,215
ITM-1000084,2530-01-487-5511,Hydraulic brake caliper (JLTV),2530,42,44,2,A,VBAY-01-BAR,"Cpl Henderson, B.",2026-03-31,27,320
ITM-1000085,2530-01-356-7711,Power steering pump (MTVR),2530,80,45,0,C,WHSE-B1-ALB,"Sgt Alvarado, M.",2026-03-05,53,1180
ITM-1000086,2520-01-365-7104,Drive shaft U-joint (MTVR),2520,60,47,0,H,BIC-CAGE-A,"MSgt Quinones, V.",2026-04-10,17,175
ITM-1000087,2520-01-528-3166,Torque converter (JLTV),2520,2,10,8,C,WHSE-C1-ALB,"Sgt Alvarado, M.",2026-02-27,59,2900
ITM-1000088,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",2520,12,8,0,C,BIC-WHSE-1,"SSgt Reyes, J.",2026-03-29,29,3450
ITM-1000089,2920-01-446-5219,Alternator 200A 28V (MTVR),2920,54,33,0,A,WHSE-A1-BAR,"SSgt Whitfield, T.",2026-03-09,49,410
ITM-1000090,2920-01-396-9234,Starter motor 24V (HMMWV/MTVR),2920,57,40,0,B,BIC-WHSE-2,"SSgt Reyes, J.",2026-02-17,69,605
ITM-1000091,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2940,77,40,0,F,WHSE-A2-ALB,"Cpl Diallo, S.",2026-03-31,27,24
ITM-1000092,2940-01-413-1984,Engine air filter element (HMMWV),2940,39,40,1,B,WHSE-A1-ALB,"SSgt Reyes, J.",2026-04-21,6,58
ITM-1000093,2930-01-477-0631,Fuel filter / water separator (MTVR),2930,49,43,0,A,BIC-WHSE-2,"Sgt Carrillo, R.",2026-02-09,77,47
ITM-1000094,4720-01-471-9951,High-pressure hydraulic hose 1/2 in. (M88A2),4720,56,50,0,A,WHSE-A1-ALB,"MSgt Quinones, V.",2026-04-07,20,95
ITM-1000095,4720-01-329-4512,Coolant hose (MTVR engine),4720,111,55,0,H,WHSE-C1-ALB,"Cpl Henderson, B.",2026-03-19,39,38
ITM-1000096,1680-01-651-2244,"Prop rotor blade, MV-22 (composite)",1680,3,11,8,A,BIC-WHSE-1,"Cpl Diallo, S.",2026-04-11,16,28500
ITM-1000097,2935-01-510-9923,"Fuel control, MV-22 engine",2935,16,10,0,H,WHSE-C1-ALB,"GySgt Underwood, R.",2026-03-20,38,12400
ITM-1000098,4730-01-441-2298,"Hydraulic seal kit, lift assy",4730,10,10,0,A,VBAY-01-BAR,"Cpl Iwamoto, K.",2026-02-26,60,240
ITM-1000099,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",5305,83,41,0,A,BIC-WHSE-1,"SSgt Whitfield, T.",2026-02-25,61,2
ITM-1000100,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),5306,15,55,40,A,BIC-CAGE-A,"Cpl Diallo, S.",2026-02-22,64,3
ITM-1000101,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),6140,80,51,0,B,BIC-WHSE-2,"GySgt Underwood, R.",2026-02-16,70,138
ITM-1000102,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",5995,42,59,17,A,WHSE-B2-BAR,"MSgt Quinones, V.",2026-04-19,8,84
ITM-1000103,2610-01-561-7748,Radial tire 395/85R20 (MTVR),2610,36,18,0,A,WHSE-C1-ALB,"Sgt Pham, D.",2026-04-01,26,690
ITM-1000104,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2610,66,33,0,A,WHSE-A2-ALB,"Sgt Alvarado, M.",2026-04-13,14,540
ITM-1000105,2540-01-565-2210,Ballistic glass window panel (JLTV),2540,19,9,0,A,VBAY-01-BAR,"Cpl Iwamoto, K.",2026-03-14,44,2400
ITM-1000106,1240-01-602-7715,"Optical sight assembly, M1A1",1240,23,11,0,A,BIC-WHSE-1,"Cpl Diallo, S.",2026-04-05,22,18500
ITM-1000107,2895-01-462-3318,Winch cable assembly 200ft (M88A2),2895,51,52,1,B,WHSE-A2-ALB,"Sgt Carrillo, R.",2026-03-17,41,410
ITM-1000108,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),2815,34,51,17,A,WHSE-A2-ALB,"SSgt Whitfield, T.",2026-03-10,48,220
ITM-1000109,5965-01-411-7783,Intercom headset H-250/U,5965,49,49,0,H,WHSE-A1-ALB,"SSgt Reyes, J.",2026-02-25,61,165
ITM-1000110,6135-01-301-8776,BA-5590 lithium primary battery (radio),6135,36,60,24,H,BIC-WHSE-2,"SSgt Reyes, J.",2026-02-28,58,26
ITM-1000111,2810-01-501-9928,Caterpillar C-12 engine assembly (MTVR rebuild),2810,5,13,8,A,WHSE-A1-BAR,"Cpl Iwamoto, K.",2026-03-24,34,47800
ITM-1000112,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",3040,11,16,5,A,BIC-WHSE-2,"Sgt Alvarado, M.",2026-03-29,29,8900
ITM-1000113,5340-01-122-4419,"Bracket, armor liner",5340,29,62,33,H,WHSE-A1-ALB,"Sgt Alvarado, M.",2026-03-30,28,95
ITM-1000114,1730-01-498-7102,"Hydraulic actuator, ramp assy (AAV)",1730,20,10,0,A,WHSE-A1-ALB,"Cpl Henderson, B.",2026-02-06,80,1180
ITM-1000115,2540-01-572-3041,"Seat, armored crew (driver)",2540,76,42,0,C,BIC-CAGE-A,"SSgt Reyes, J.",2026-04-21,6,2240
ITM-1000116,6130-01-651-1182,"Power distribution unit, vehicle",6130,48,36,0,F,WHSE-A1-BAR,"SSgt Reyes, J.",2026-04-06,21,1410
ITM-1000117,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",3110,67,33,0,F,BIC-CAGE-A,"Sgt Carrillo, R.",2026-03-21,37,387
ITM-1000118,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",3110,22,29,7,B,WHSE-A1-ALB,"SSgt Reyes, J.",2026-03-11,47,512
ITM-1000119,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",3110,11,8,0,F,WHSE-B1-ALB,"Cpl Henderson, B.",2026-04-13,14,622
ITM-1000120,3110-01-413-2691,"Bearing, Final Drive Pinion (AAV-7A1)",3110,15,13,0,F,BIC-WHSE-1,"GySgt Underwood, R.",2026-03-30,28,745
ITM-1000121,3110-01-617-8013,"Bearing, Prop Rotor Hub (MV-22)",3110,15,7,0,A,BIC-WHSE-2,"SSgt Whitfield, T.",2026-04-05,22,4280
ITM-1000122,2530-01-621-3107,Brake rotor (MTVR),2530,47,44,0,H,BIC-WHSE-1,"Sgt Carrillo, R.",2026-04-19,8,215
ITM-1000123,2530-01-487-5511,Hydraulic brake caliper (JLTV),2530,73,59,0,A,WHSE-B1-ALB,"Cpl Diallo, S.",2026-04-21,6,320
ITM-1000124,2530-01-356-7711,Power steering pump (MTVR),2530,53,47,0,A,WHSE-B1-ALB,"Sgt Pham, D.",2026-03-20,38,1180
ITM-1000125,2520-01-365-7104,Drive shaft U-joint (MTVR),2520,79,48,0,A,WHSE-B2-BAR,"SSgt Reyes, J.",2026-02-28,58,175
ITM-1000126,2520-01-528-3166,Torque converter (JLTV),2520,12,9,0,A,BIC-WHSE-2,"MSgt Quinones, V.",2026-04-10,17,2900
ITM-1000127,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",2520,10,9,0,B,WHSE-B2-BAR,"Cpl Henderson, B.",2026-02-07,79,3450
ITM-1000128,2920-01-446-5219,Alternator 200A 28V (MTVR),2920,62,39,0,A,WHSE-B1-ALB,"Sgt Carrillo, R.",2026-04-17,10,410
ITM-1000129,2920-01-396-9234,Starter motor 24V (HMMWV/MTVR),2920,70,43,0,B,WHSE-A1-BAR,"SSgt Reyes, J.",2026-04-03,24,605
ITM-1000130,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2940,98,49,0,A,VBAY-01-BAR,"GySgt Underwood, R.",2026-02-17,69,24
ITM-1000131,2940-01-413-1984,Engine air filter element (HMMWV),2940,60,38,0,H,WHSE-B1-ALB,"Sgt Pham, D.",2026-03-01,57,58
ITM-1000132,2930-01-477-0631,Fuel filter / water separator (MTVR),2930,23,53,30,A,WHSE-B1-ALB,"Cpl Iwamoto, K.",2026-03-09,49,47
ITM-1000133,4720-01-471-9951,High-pressure hydraulic hose 1/2 in. (M88A2),4720,98,60,0,B,VBAY-01-BAR,"Cpl Diallo, S.",2026-02-08,78,95
ITM-1000134,4720-01-329-4512,Coolant hose (MTVR engine),4720,67,48,0,A,WHSE-B2-BAR,"Cpl Boudreau, A.",2026-03-24,34,38
ITM-1000135,1680-01-651-2244,"Prop rotor blade, MV-22 (composite)",1680,21,10,0,A,WHSE-B1-ALB,"SSgt Reyes, J.",2026-02-08,78,28500
ITM-1000136,2935-01-510-9923,"Fuel control, MV-22 engine",2935,13,11,0,C,VBAY-01-BAR,"Sgt Pham, D.",2026-02-19,67,12400
ITM-1000137,4730-01-441-2298,"Hydraulic seal kit, lift assy",4730,5,10,5,A,WHSE-B2-BAR,"SSgt Reyes, J.",2026-03-22,36,240
ITM-1000138,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",5305,55,52,0,B,WHSE-B2-BAR,"Sgt Carrillo, R.",2026-02-13,73,2
ITM-1000139,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),5306,97,48,0,A,WHSE-A1-BAR,"Sgt Alvarado, M.",2026-02-12,74,3
ITM-1000140,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),6140,34,61,27,B,WHSE-A1-ALB,"MSgt Quinones, V.",2026-04-24,3,138
ITM-1000141,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",5995,54,31,0,B,BIC-CAGE-A,"MSgt Quinones, V.",2026-04-03,24,84
ITM-1000142,2610-01-561-7748,Radial tire 395/85R20 (MTVR),2610,56,28,0,A,BIC-WHSE-1,"SSgt Reyes, J.",2026-03-03,55,690
ITM-1000143,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2610,36,29,0,C,WHSE-C1-ALB,"Cpl Boudreau, A.",2026-03-19,39,540
ITM-1000144,2540-01-565-2210,Ballistic glass window panel (JLTV),2540,25,12,0,B,WHSE-A2-ALB,"Cpl Henderson, B.",2026-04-25,2,2400
ITM-1000145,1240-01-602-7715,"Optical sight assembly, M1A1",1240,23,11,0,C,BIC-CAGE-A,"SSgt Whitfield, T.",2026-03-28,30,18500
ITM-1000146,2895-01-462-3318,Winch cable assembly 200ft (M88A2),2895,76,38,0,B,WHSE-A2-ALB,"MSgt Quinones, V.",2026-03-06,52,410
ITM-1000147,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),2815,76,44,0,B,WHSE-A2-ALB,"MSgt Quinones, V.",2026-03-04,54,220
ITM-1000148,5965-01-411-7783,Intercom headset H-250/U,5965,59,42,0,C,BIC-CAGE-A,"Sgt Pham, D.",2026-02-15,71,165
ITM-1000149,6135-01-301-8776,BA-5590 lithium primary battery (radio),6135,78,39,0,H,BIC-WHSE-1,"Sgt Carrillo, R.",2026-03-22,36,26
ITM-1000150,2810-01-501-9928,Caterpillar C-12 engine assembly (MTVR rebuild),2810,20,11,0,A,WHSE-A1-ALB,"Sgt Carrillo, R.",2026-04-05,22,47800
ITM-1000151,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",3040,18,9,0,A,WHSE-B1-ALB,"Sgt Pham, D.",2026-04-09,18,8900
ITM-1000152,5340-01-122-4419,"Bracket, armor liner",5340,40,20,0,A,BIC-CAGE-A,"Sgt Carrillo, R.",2026-02-15,71,95
ITM-1000153,1730-01-498-7102,"Hydraulic actuator, ramp assy (AAV)",1730,10,7,0,F,VBAY-01-BAR,"GySgt Underwood, R.",2026-04-16,11,1180
ITM-1000154,2540-01-572-3041,"Seat, armored crew (driver)",2540,43,23,0,F,WHSE-A1-ALB,"MSgt Quinones, V.",2026-03-31,27,2240
ITM-1000155,6130-01-651-1182,"Power distribution unit, vehicle",6130,53,39,0,A,BIC-WHSE-1,"SSgt Whitfield, T.",2026-03-15,43,1410
ITM-1000156,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",3110,64,55,0,A,VBAY-01-BAR,"Cpl Diallo, S.",2026-04-15,12,387
ITM-1000157,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",3110,37,51,14,B,WHSE-A1-BAR,"MSgt Quinones, V.",2026-03-24,34,512
ITM-1000158,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",3110,20,10,0,H,BIC-CAGE-A,"GySgt Underwood, R.",2026-02-10,76,622
ITM-1000159,3110-01-413-2691,"Bearing, Final Drive Pinion (AAV-7A1)",3110,12,10,0,A,WHSE-A1-ALB,"Sgt Pham, D.",2026-02-12,74,745
ITM-1000160,3110-01-617-8013,"Bearing, Prop Rotor Hub (MV-22)",3110,17,11,0,A,WHSE-A1-ALB,"Sgt Carrillo, R.",2026-02-12,74,4280
ITM-1000161,2530-01-621-3107,Brake rotor (MTVR),2530,15,35,20,A,BIC-WHSE-2,"SSgt Whitfield, T.",2026-03-09,49,215
ITM-1000162,2530-01-487-5511,Hydraulic brake caliper (JLTV),2530,47,37,0,A,WHSE-A1-ALB,"Cpl Diallo, S.",2026-02-23,63,320
ITM-1000163,2530-01-356-7711,Power steering pump (MTVR),2530,34,66,32,B,WHSE-B2-BAR,"GySgt Underwood, R.",2026-02-15,71,1180
