date,work_order_id,platform,vehicle_id,pmcs_code,nsn,part_name,qty_consumed,subsystem
2026-01-28,WO-260128-00028,LAV,LAV-0061,M,5965-01-411-7783,Intercom headset H-250/U,1,comms
2026-01-28,WO-260128-00029,LAV,LAV-0037,Q,2540-01-572-3041,"Seat, armored crew (driver)",1,interior
2026-01-28,WO-260128-00030,JLTV,JLTV-0057,S,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",3,wheels
2026-01-28,WO-260128-00031,JLTV,JLTV-0406,AN,2530-01-487-5511,Hydraulic brake caliper (JLTV),2,brakes
2026-01-28,WO-260128-00032,JLTV,JLTV-0237,B,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),13,fasteners
2026-01-28,WO-260128-00033,JLTV,JLTV-0092,D,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),1,tires
2026-01-28,WO-260128-00034,JLTV,JLTV-0406,A,6135-01-301-8776,BA-5590 lithium primary battery (radio),7,comms
2026-01-28,WO-260128-00035,AAV-7A1,AAV-7A1-0041,W,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",1,tracks
2026-01-28,WO-260128-00036,AAV-7A1,AAV-7A1-0022,M,1730-01-498-7102,"Hydraulic actuator, ramp assy (AAV)",1,hydraulics
2026-01-28,WO-260128-00037,HMMWV,HMMWV-0285,Q,2940-01-413-1984,Engine air filter element (HMMWV),3,engine
2026-01-29,WO-260129-00038,MTVR,MTVR-0062,S,2530-01-621-3107,Brake rotor (MTVR),2,brakes
2026-01-29,WO-260129-00039,MTVR,MTVR-0002,AN,2520-01-365-7104,Drive shaft U-joint (MTVR),1,transmission
2026-01-29,WO-260129-00040,MTVR,MTVR-0132,B,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2,engine
2026-01-29,WO-260129-00041,MTVR,MTVR-0131,D,4720-01-329-4512,Coolant hose (MTVR engine),3,engine
2026-01-29,WO-260129-00042,MTVR,MTVR-0093,A,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",11,fasteners
2026-01-29,WO-260129-00043,MTVR,MTVR-0184,W,2610-01-561-7748,Radial tire 395/85R20 (MTVR),2,tires
2026-01-29,WO-260129-00044,LAV,LAV-0050,M,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",1,wheels
2026-01-29,WO-260129-00045,LAV,LAV-0014,Q,5965-01-411-7783,Intercom headset H-250/U,2,comms
2026-01-29,WO-260129-00046,JLTV,JLTV-0025,S,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",1,wheels
2026-01-29,WO-260129-00047,JLTV,JLTV-0021,AN,2530-01-487-5511,Hydraulic brake caliper (JLTV),1,brakes
2026-01-29,WO-260129-00048,JLTV,JLTV-0191,B,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),9,fasteners
2026-01-29,WO-260129-00049,JLTV,JLTV-0073,D,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2,tires
2026-01-29,WO-260129-00050,JLTV,JLTV-0186,A,6135-01-301-8776,BA-5590 lithium primary battery (radio),7,comms
2026-01-29,WO-260129-00051,AAV-7A1,AAV-7A1-0039,W,3110-01-413-2691,"Bearing, Final Drive Pinion (AAV-7A1)",1,tracks
2026-01-29,WO-260129-00052,HMMWV,HMMWV-0081,M,2940-01-413-1984,Engine air filter element (HMMWV),2,engine
2026-01-30,WO-260130-00053,MTVR,MTVR-0313,Q,2530-01-621-3107,Brake rotor (MTVR),2,brakes
2026-01-30,WO-260130-00054,MTVR,MTVR-0266,S,2520-01-365-7104,Drive shaft U-joint (MTVR),3,transmission
2026-01-30,WO-260130-00055,MTVR,MTVR-0293,AN,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",1,transmission
2026-01-30,WO-260130-00056,MTVR,MTVR-0093,B,2920-01-446-5219,Alternator 200A 28V (MTVR),1,electrical
2026-01-30,WO-260130-00057,MTVR,MTVR-0040,D,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2,engine
2026-01-30,WO-260130-00058,MTVR,MTVR-0249,A,2930-01-477-0631,Fuel filter / water separator (MTVR),3,engine
2026-01-30,WO-260130-00059,MTVR,MTVR-0040,W,4720-01-329-4512,Coolant hose (MTVR engine),4,engine
2026-01-30,WO-260130-00060,MTVR,MTVR-0247,M,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",11,fasteners
2026-01-30,WO-260130-00061,LAV,LAV-0074,Q,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",1,comms
2026-01-30,WO-260130-00062,LAV,LAV-0027,S,5965-01-411-7783,Intercom headset H-250/U,1,comms
2026-01-30,WO-260130-00063,JLTV,JLTV-0364,AN,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",1,wheels
2026-01-30,WO-260130-00064,JLTV,JLTV-0039,B,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),9,fasteners
2026-01-30,WO-260130-00065,JLTV,JLTV-0050,D,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2,tires
2026-01-30,WO-260130-00066,JLTV,JLTV-0298,A,2540-01-565-2210,Ballistic glass window panel (JLTV),1,armor
2026-01-30,WO-260130-00067,JLTV,JLTV-0032,W,6135-01-301-8776,BA-5590 lithium primary battery (radio),6,comms
2026-01-30,WO-260130-00068,AAV-7A1,AAV-7A1-0002,M,4730-01-441-2298,"Hydraulic seal kit, lift assy",1,hydraulics
2026-01-30,WO-260130-00069,M88A2,M88A2-0009,Q,2895-01-462-3318,Winch cable assembly 200ft (M88A2),1,winch
2026-01-30,WO-260130-00070,HMMWV,HMMWV-0163,S,2940-01-413-1984,Engine air filter element (HMMWV),4,engine
2026-01-30,WO-260130-00071,HMMWV,HMMWV-0362,AN,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),1,engine
2026-01-30,WO-260130-00072,M1A1,M1A1-0004,B,1240-01-602-7715,"Optical sight assembly, M1A1",1,weapons
2026-01-31,WO-260131-00073,MTVR,MTVR-0098,D,2530-01-621-3107,Brake rotor (MTVR),2,brakes
2026-01-31,WO-260131-00074,MTVR,MTVR-0078,A,2940-01-389-2196,Primary fuel/oil filter element (MTVR),3,engine
2026-01-31,WO-260131-00075,MTVR,MTVR-0019,W,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",10,fasteners
2026-01-31,WO-260131-00076,MTVR,MTVR-0318,M,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),1,electrical
2026-01-31,WO-260131-00077,MTVR,MTVR-0139,Q,2610-01-561-7748,Radial tire 395/85R20 (MTVR),3,tires
2026-01-31,WO-260131-00078,LAV,LAV-0018,S,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",1,comms
2026-01-31,WO-260131-00079,JLTV,JLTV-0030,AN,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",1,wheels
2026-01-31,WO-260131-00080,JLTV,JLTV-0219,B,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),2,fasteners
2026-01-31,WO-260131-00081,JLTV,JLTV-0172,D,6135-01-301-8776,BA-5590 lithium primary battery (radio),6,comms
2026-01-31,WO-260131-00082,AAV-7A1,AAV-7A1-0006,A,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",1,tracks
2026-01-31,WO-260131-00083,MV-22B,MV-22B-0005,W,3110-01-617-8013,"Bearing, Prop Rotor Hub (MV-22)",1,rotor
2026-01-31,WO-260131-00084,M88A2,M88A2-0016,M,2895-01-462-3318,Winch cable assembly 200ft (M88A2),1,winch
2026-01-31,WO-260131-00085,HMMWV,HMMWV-0034,Q,2940-01-413-1984,Engine air filter element (HMMWV),4,engine
2026-01-31,WO-260131-00086,HMMWV,HMMWV-0091,S,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),1,engine
2026-02-01,WO-260201-00087,MTVR,MTVR-0195,AN,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",1,wheels
2026-02-01,WO-260201-00088,MTVR,MTVR-0266,B,2530-01-621-3107,Brake rotor (MTVR),1,brakes
2026-02-01,WO-260201-00089,MTVR,MTVR-0277,D,2920-01-446-5219,Alternator 200A 28V (MTVR),1,electrical
2026-02-01,WO-260201-00090,MTVR,MTVR-0180,A,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2,engine
2026-02-01,WO-260201-00091,MTVR,MTVR-0008,W,2930-01-477-0631,Fuel filter / water separator (MTVR),3,engine
2026-02-01,WO-260201-00092,MTVR,MTVR-0104,M,4720-01-329-4512,Coolant hose (MTVR engine),1,engine
2026-02-01,WO-260201-00093,MTVR,MTVR-0099,Q,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",5,fasteners
2026-02-01,WO-260201-00094,LAV,LAV-0036,S,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",1,comms
2026-02-01,WO-260201-00095,JLTV,JLTV-0194,AN,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),5,fasteners
2026-02-01,WO-260201-00096,JLTV,JLTV-0158,B,6135-01-301-8776,BA-5590 lithium primary battery (radio),6,comms
2026-02-01,WO-260201-00097,AAV-7A1,AAV-7A1-0049,D,4730-01-441-2298,"Hydraulic seal kit, lift assy",1,hydraulics
2026-02-01,WO-260201-00098,HMMWV,HMMWV-0264,A,2940-01-413-1984,Engine air filter element (HMMWV),2,engine
2026-02-02,WO-260202-00099,MTVR,MTVR-0213,W,2530-01-356-7711,Power steering pump (MTVR),1,steering
2026-02-02,WO-260202-00100,MTVR,MTVR-0133,M,2520-01-365-7104,Drive shaft U-joint (MTVR),1,transmission
2026-02-02,WO-260202-00101,MTVR,MTVR-0122,Q,2920-01-446-5219,Alternator 200A 28V (MTVR),2,electrical
2026-02-02,WO-260202-00102,MTVR,MTVR-0300,S,2920-01-396-9234,Starter motor 24V (HMMWV/MTVR),2,engine
2026-02-02,WO-260202-00103,MTVR,MTVR-0035,AN,2930-01-477-0631,Fuel filter / water separator (MTVR),2,engine
2026-02-02,WO-260202-00104,MTVR,MTVR-0024,B,4720-01-329-4512,Coolant hose (MTVR engine),1,engine
2026-02-02,WO-260202-00105,MTVR,MTVR-0290,D,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",8,fasteners
2026-02-02,WO-260202-00106,MTVR,MTVR-0130,A,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),1,electrical
2026-02-02,WO-260202-00107,MTVR,MTVR-0259,W,2610-01-561-7748,Radial tire 395/85R20 (MTVR),3,tires
2026-02-02,WO-260202-00108,MTVR,MTVR-0099,M,2810-01-501-9928,Caterpillar C-12 engine assembly (MTVR rebuild),1,engine
2026-02-02,WO-260202-00109,LAV,LAV-0048,Q,2540-01-572-3041,"Seat, armored crew (driver)",1,interior
2026-02-02,WO-260202-00110,JLTV,JLTV-0288,S,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",2,wheels
2026-02-02,WO-260202-00111,JLTV,JLTV-0174,AN,2530-01-487-5511,Hydraulic brake caliper (JLTV),1,brakes
2026-02-02,WO-260202-00112,JLTV,JLTV-0118,B,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),10,fasteners
2026-02-02,WO-260202-00113,JLTV,JLTV-0167,D,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2,tires
2026-02-02,WO-260202-00114,JLTV,JLTV-0002,A,2540-01-565-2210,Ballistic glass window panel (JLTV),1,armor
2026-02-02,WO-260202-00115,JLTV,JLTV-0139,W,6135-01-301-8776,BA-5590 lithium primary battery (radio),3,comms
2026-02-02,WO-260202-00116,AAV-7A1,AAV-7A1-0012,M,4730-01-441-2298,"Hydraulic seal kit, lift assy",1,hydraulics
2026-02-02,WO-260202-00117,AAV-7A1,AAV-7A1-0026,Q,1730-01-498-7102,"Hydraulic actuator, ramp assy (AAV)",1,hydraulics
2026-02-02,WO-260202-00118,HMMWV,HMMWV-0195,S,2940-01-413-1984,Engine air filter element (HMMWV),6,engine
2026-02-02,WO-260202-00119,HMMWV,HMMWV-0032,AN,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),1,engine
2026-02-03,WO-260203-00120,MTVR,MTVR-0269,B,2520-01-365-7104,Drive shaft U-joint (MTVR),3,transmission
2026-02-03,WO-260203-00121,MTVR,MTVR-0207,D,2920-01-446-5219,Alternator 200A 28V (MTVR),3,electrical
2026-02-03,WO-260203-00122,MTVR,MTVR-0084,A,2920-01-396-9234,Starter motor 24V (HMMWV/MTVR),1,engine
2026-02-03,WO-260203-00123,MTVR,MTVR-0185,W,2940-01-389-2196,Primary fuel/oil filter element (MTVR),3,engine
2026-02-03,WO-260203-00124,MTVR,MTVR-0108,M,2930-01-477-0631,Fuel filter / water separator (MTVR),1,engine
2026-02-03,WO-260203-00125,MTVR,MTVR-0172,Q,4720-01-329-4512,Coolant hose (MTVR engine),3,engine
2026-02-03,WO-260203-00126,MTVR,MTVR-0025,S,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",6,fasteners
2026-02-03,WO-260203-00127,MTVR,MTVR-0040,AN,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),1,electrical
2026-02-03,WO-260203-00128,LAV,LAV-0038,B,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",1,wheels
2026-02-03,WO-260203-00129,LAV,LAV-0008,D,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",1,comms
2026-02-03,WO-260203-00130,LAV,LAV-0061,A,5965-01-411-7783,Intercom headset H-250/U,1,comms
2026-02-03,WO-260203-00131,JLTV,JLTV-0101,W,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",2,wheels
2026-02-03,WO-260203-00132,JLTV,JLTV-0389,M,2520-01-528-3166,Torque converter (JLTV),1,transmission
2026-02-03,WO-260203-00133,JLTV,JLTV-0344,Q,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),11,fasteners
2026-02-03,WO-260203-00134,JLTV,JLTV-0170,S,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2,tires
2026-02-03,WO-260203-00135,JLTV,JLTV-0331,AN,2540-01-565-2210,Ballistic glass window panel (JLTV),1,armor
2026-02-03,WO-260203-00136,M88A2,M88A2-0008,B,2895-01-462-3318,Winch cable assembly 200ft (M88A2),1,winch
2026-02-03,WO-260203-00137,HMMWV,HMMWV-0230,D,2940-01-413-1984,Engine air filter element (HMMWV),5,engine
2026-02-03,WO-260203-00138,HMMWV,HMMWV-0010,A,2815-01-377-2184,Cylinder head gasket (HMMWV 6.5L),1,engine
2026-02-04,WO-260204-00139,MTVR,MTVR-0021,W,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",2,wheels
2026-02-04,WO-260204-00140,MTVR,MTVR-0084,M,2530-01-621-3107,Brake rotor (MTVR),2,brakes
2026-02-04,WO-260204-00141,MTVR,MTVR-0059,Q,2530-01-356-7711,Power steering pump (MTVR),1,steering
2026-02-04,WO-260204-00142,MTVR,MTVR-0117,S,2520-01-365-7104,Drive shaft U-joint (MTVR),2,transmission
2026-02-04,WO-260204-00143,MTVR,MTVR-0173,AN,2940-01-389-2196,Primary fuel/oil filter element (MTVR),4,engine
2026-02-04,WO-260204-00144,MTVR,MTVR-0296,B,2930-01-477-0631,Fuel filter / water separator (MTVR),1,engine
2026-02-04,WO-260204-00145,MTVR,MTVR-0075,D,4720-01-329-4512,Coolant hose (MTVR engine),4,engine
2026-02-04,WO-260204-00146,MTVR,MTVR-0050,A,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",8,fasteners
2026-02-04,WO-260204-00147,MTVR,MTVR-0238,W,2610-01-561-7748,Radial tire 395/85R20 (MTVR),2,tires
2026-02-04,WO-260204-00148,LAV,LAV-0030,M,5965-01-411-7783,Intercom headset H-250/U,2,comms
2026-02-04,WO-260204-00149,JLTV,JLTV-0150,Q,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",1,wheels
2026-02-04,WO-260204-00150,JLTV,JLTV-0107,S,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),4,fasteners
2026-02-04,WO-260204-00151,JLTV,JLTV-0307,AN,2610-01-647-5106,Run-flat radial tire 37x12.5R17 (JLTV),2,tires
2026-02-04,WO-260204-00152,JLTV,JLTV-0220,B,2540-01-565-2210,Ballistic glass window panel (JLTV),1,armor
2026-02-04,WO-260204-00153,JLTV,JLTV-0258,D,6135-01-301-8776,BA-5590 lithium primary battery (radio),4,comms
2026-02-04,WO-260204-00154,AAV-7A1,AAV-7A1-0051,A,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",1,tracks
2026-02-04,WO-260204-00155,HMMWV,HMMWV-0168,W,2940-01-413-1984,Engine air filter element (HMMWV),8,engine
2026-02-05,WO-260205-00156,MTVR,MTVR-0266,M,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",1,wheels
2026-02-05,WO-260205-00157,MTVR,MTVR-0244,Q,2520-01-365-7104,Drive shaft U-joint (MTVR),1,transmission
2026-02-05,WO-260205-00158,MTVR,MTVR-0188,S,2920-01-446-5219,Alternator 200A 28V (MTVR),1,electrical
2026-02-05,WO-260205-00159,MTVR,MTVR-0023,AN,2920-01-396-9234,Starter motor 24V (HMMWV/MTVR),1,engine
2026-02-05,WO-260205-00160,MTVR,MTVR-0260,B,2940-01-389-2196,Primary fuel/oil filter element (MTVR),4,engine
2026-02-05,WO-260205-00161,MTVR,MTVR-0149,D,2930-01-477-0631,Fuel filter / water separator (MTVR),1,engine
2026-02-05,WO-260205-00162,MTVR,MTVR-0168,A,4720-01-329-4512,Coolant hose (MTVR engine),3,engine
2026-02-05,WO-260205-00163,MTVR,MTVR-0314,W,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",6,fasteners
2026-02-05,WO-260205-00164,MTVR,MTVR-0254,M,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),1,electrical
2026-02-05,WO-260205-00165,MTVR,MTVR-0021,Q,2610-01-561-7748,Radial tire 395/85R20 (MTVR),1,tires
2026-02-05,WO-260205-00166,LAV,LAV-0041,S,5965-01-411-7783,Intercom headset H-250/U,1,comms
2026-02-05,WO-260205-00167,LAV,LAV-0009,AN,5340-01-122-4419,"Bracket, armor liner",1,armor
2026-02-05,WO-260205-00168,JLTV,JLTV-0336,B,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",2,wheels
2026-02-05,WO-260205-00169,JLTV,JLTV-0056,D,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),7,fasteners
2026-02-05,WO-260205-00170,JLTV,JLTV-0101,A,2540-01-565-2210,Ballistic glass window panel (JLTV),1,armor
2026-02-05,WO-260205-00171,JLTV,JLTV-0030,W,6135-01-301-8776,BA-5590 lithium primary battery (radio),5,comms
2026-02-05,WO-260205-00172,AAV-7A1,AAV-7A1-0058,M,3040-01-489-1071,"Final drive housing, port (AAV-7A1)",1,tracks
2026-02-05,WO-260205-00173,HMMWV,HMMWV-0265,Q,2940-01-413-1984,Engine air filter element (HMMWV),4,engine
2026-02-06,WO-260206-00174,MTVR,MTVR-0016,S,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",1,wheels
2026-02-06,WO-260206-00175,MTVR,MTVR-0247,AN,2530-01-621-3107,Brake rotor (MTVR),2,brakes
2026-02-06,WO-260206-00176,MTVR,MTVR-0225,B,2520-01-365-7104,Drive shaft U-joint (MTVR),1,transmission
2026-02-06,WO-260206-00177,MTVR,MTVR-0303,D,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",1,transmission
2026-02-06,WO-260206-00178,MTVR,MTVR-0265,A,2920-01-446-5219,Alternator 200A 28V (MTVR),1,electrical
2026-02-06,WO-260206-00179,MTVR,MTVR-0136,W,2940-01-389-2196,Primary fuel/oil filter element (MTVR),4,engine
2026-02-06,WO-260206-00180,MTVR,MTVR-0269,M,2930-01-477-0631,Fuel filter / water separator (MTVR),4,engine
2026-02-06,WO-260206-00181,MTVR,MTVR-0064,Q,4720-01-329-4512,Coolant hose (MTVR engine),1,engine
2026-02-06,WO-260206-00182,MTVR,MTVR-0284,S,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",9,fasteners
2026-02-06,WO-260206-00183,MTVR,MTVR-0300,AN,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),1,electrical
2026-02-06,WO-260206-00184,MTVR,MTVR-0020,B,2610-01-561-7748,Radial tire 395/85R20 (MTVR),1,tires
2026-02-06,WO-260206-00185,MTVR,MTVR-0066,D,6130-01-651-1182,"Power distribution unit, vehicle",1,electrical
2026-02-06,WO-260206-00186,LAV,LAV-0042,A,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",1,wheels
2026-02-06,WO-260206-00187,LAV,LAV-0012,W,5995-01-538-7726,"RF coaxial cable assembly, vehicle SINCGARS",1,comms
2026-02-06,WO-260206-00188,LAV,LAV-0064,M,5965-01-411-7783,Intercom headset H-250/U,1,comms
2026-02-06,WO-260206-00189,JLTV,JLTV-0114,Q,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),7,fasteners
2026-02-06,WO-260206-00190,JLTV,JLTV-0120,S,6135-01-301-8776,BA-5590 lithium primary battery (radio),5,comms
2026-02-06,WO-260206-00191,HMMWV,HMMWV-0205,AN,2940-01-413-1984,Engine air filter element (HMMWV),6,engine
2026-02-07,WO-260207-00192,MTVR,MTVR-0186,B,2530-01-621-3107,Brake rotor (MTVR),2,brakes
2026-02-07,WO-260207-00193,MTVR,MTVR-0084,D,2520-01-365-7104,Drive shaft U-joint (MTVR),2,transmission
2026-02-07,WO-260207-00194,MTVR,MTVR-0106,A,2520-01-562-9981,"Transfer case, ratio 1.85 (MTVR)",1,transmission
2026-02-07,WO-260207-00195,MTVR,MTVR-0013,W,2940-01-389-2196,Primary fuel/oil filter element (MTVR),4,engine
2026-02-07,WO-260207-00196,MTVR,MTVR-0309,M,4720-01-329-4512,Coolant hose (MTVR engine),1,engine
2026-02-07,WO-260207-00197,MTVR,MTVR-0027,Q,5305-01-188-1057,"Machine screw, hex-head 3/8-16 (general)",3,fasteners
2026-02-07,WO-260207-00198,MTVR,MTVR-0040,S,6140-01-446-9512,Vehicle battery 6TL 12V (HMMWV/MTVR),1,electrical
2026-02-07,WO-260207-00199,LAV,LAV-0044,AN,3110-01-204-5587,"Bearing, Wheel Hub (LAV-25 Drive Train)",1,wheels
2026-02-07,WO-260207-00200,LAV,LAV-0084,B,2540-01-572-3041,"Seat, armored crew (driver)",1,interior
2026-02-07,WO-260207-00201,JLTV,JLTV-0242,D,3110-01-660-2271,"Bearing, Wheel Hub Front (JLTV)",2,wheels
2026-02-07,WO-260207-00202,JLTV,JLTV-0041,A,2530-01-487-5511,Hydraulic brake caliper (JLTV),1,brakes
2026-02-07,WO-260207-00203,JLTV,JLTV-0079,W,5306-01-204-9033,Structural bolt 1/2-13 grade-8 (general),2,fasteners
2026-02-07,WO-260207-00204,JLTV,JLTV-0063,M,6135-01-301-8776,BA-5590 lithium primary battery (radio),2,comms
2026-02-07,WO-260207-00205,HMMWV,HMMWV-0344,Q,2940-01-413-1984,Engine air filter element (HMMWV),3,engine
2026-02-08,WO-260208-00206,MTVR,MTVR-0254,S,3110-01-561-1929,"Bearing, Tapered Roller, Wheel Hub (MTVR drive axle)",1,wheels
2026-02-08,WO-260208-00207,MTVR,MTVR-0090,AN,2530-01-621-3107,Brake rotor (MTVR),1,brakes
2026-02-08,WO-260208-00208,MTVR,MTVR-0064,B,2520-01-365-7104,Drive shaft U-joint (MTVR),1,transmission
2026-02-08,WO-260208-00209,MTVR,MTVR-0167,D,2920-01-446-5219,Alternator 200A 28V (MTVR),1,electrical
2026-02-08,WO-260208-00210,MTVR,MTVR-0177,A,2940-01-389-2196,Primary fuel/oil filter element (MTVR),2,engine
2026-02-08,WO-260208-00211,MTVR,MTVR-0265,W,2930-01-477-0631,Fuel filter / water separator (MTVR),2,engine
