lot_id,depot_id,class,item,qty_pallets,exp_in_days,lot_status
GCSS-00030,MCLB-ALB,Class IX,MRAP repair kit,267,458,QUARANTINE
GCSS-00031,MCLB-ALB,Class IX,MRAP repair kit,504,674,AVAIL
GCSS-00032,MCLB-ALB,Class IX,MRAP repair kit,447,393,QUARANTINE
GCSS-00033,MCLB-ALB,Class IX,MRAP repair kit,484,589,QUARANTINE
GCSS-00034,MCLB-ALB,Class IX,MRAP repair kit,81,517,AVAIL
GCSS-00035,MCLB-ALB,Class IX,MRAP repair kit,394,717,AVAIL
GCSS-00036,MCLB-ALB,Class IX,MRAP repair kit,202,347,AVAIL
GCSS-00037,MCLB-BAR,Class I,MRE pallet,237,140,AVAIL
GCSS-00038,MCLB-BAR,Class I,MRE pallet,298,400,AVAIL
GCSS-00039,MCLB-BAR,Class I,MRE pallet,118,101,QUARANTINE
GCSS-00040,MCLB-BAR,Class I,MRE pallet,362,644,AVAIL
GCSS-00041,MCLB-BAR,Class I,MRE pallet,423,341,AVAIL
GCSS-00042,MCLB-BAR,Class III,JP-8 fuel drum,391,221,QUARANTINE
GCSS-00043,MCLB-BAR,Class III,JP-8 fuel drum,238,331,AVAIL
GCSS-00044,MCLB-BAR,Class III,JP-8 fuel drum,463,688,AVAIL
GCSS-00045,MCLB-BAR,Class III,JP-8 fuel drum,578,710,AVAIL
GCSS-00046,MCLB-BAR,Class III,JP-8 fuel drum,129,194,QUARANTINE
GCSS-00047,MCLB-BAR,Class V,5.56mm rounds (lot),286,481,AVAIL
GCSS-00048,MCLB-BAR,Class V,5.56mm rounds (lot),115,547,AVAIL
GCSS-00049,MCLB-BAR,Class V,5.56mm rounds (lot),466,613,QUARANTINE
GCSS-00050,MCLB-BAR,Class V,5.56mm rounds (lot),493,265,AVAIL
GCSS-00051,MCLB-BAR,Class V,5.56mm rounds (lot),217,66,QUARANTINE
GCSS-00052,MCLB-BAR,Class V,5.56mm rounds (lot),550,633,AVAIL
GCSS-00053,MCLB-BAR,Class V,5.56mm rounds (lot),226,106,AVAIL
GCSS-00054,MCLB-BAR,Class VIII,Med kit (lot),478,246,AVAIL
GCSS-00055,MCLB-BAR,Class VIII,Med kit (lot),147,658,QUARANTINE
GCSS-00056,MCLB-BAR,Class VIII,Med kit (lot),568,613,QUARANTINE
GCSS-00057,MCLB-BAR,Class VIII,Med kit (lot),176,170,AVAIL
GCSS-00058,MCLB-BAR,Class VIII,Med kit (lot),462,670,AVAIL
GCSS-00059,MCLB-BAR,Class IX,MRAP repair kit,584,406,QUARANTINE
GCSS-00060,MCLB-BAR,Class IX,MRAP repair kit,113,693,AVAIL
GCSS-00061,MCLB-BAR,Class IX,MRAP repair kit,493,339,AVAIL
GCSS-00062,MCLB-BAR,Class IX,MRAP repair kit,89,312,AVAIL
GCSS-00063,CAMP-LEJ,Class I,MRE pallet,565,655,AVAIL
GCSS-00064,CAMP-LEJ,Class I,MRE pallet,59,388,AVAIL
GCSS-00065,CAMP-LEJ,Class I,MRE pallet,570,393,AVAIL
GCSS-00066,CAMP-LEJ,Class I,MRE pallet,342,497,AVAIL
GCSS-00067,CAMP-LEJ,Class I,MRE pallet,105,67,QUARANTINE
GCSS-00068,CAMP-LEJ,Class I,MRE pallet,478,249,AVAIL
GCSS-00069,CAMP-LEJ,Class III,JP-8 fuel drum,525,562,AVAIL
GCSS-00070,CAMP-LEJ,Class III,JP-8 fuel drum,172,127,AVAIL
GCSS-00071,CAMP-LEJ,Class III,JP-8 fuel drum,209,185,AVAIL
GCSS-00072,CAMP-LEJ,Class III,JP-8 fuel drum,227,345,AVAIL
GCSS-00073,CAMP-LEJ,Class III,JP-8 fuel drum,112,203,AVAIL
GCSS-00074,CAMP-LEJ,Class III,JP-8 fuel drum,327,587,AVAIL
GCSS-00075,CAMP-LEJ,Class V,5.56mm rounds (lot),167,307,AVAIL
GCSS-00076,CAMP-LEJ,Class V,5.56mm rounds (lot),551,605,AVAIL
GCSS-00077,CAMP-LEJ,Class V,5.56mm rounds (lot),90,249,AVAIL
GCSS-00078,CAMP-LEJ,Class V,5.56mm rounds (lot),598,75,AVAIL
GCSS-00079,CAMP-LEJ,Class V,5.56mm rounds (lot),76,101,QUARANTINE
GCSS-00080,CAMP-LEJ,Class V,5.56mm rounds (lot),469,492,AVAIL
GCSS-00081,CAMP-LEJ,Class V,5.56mm rounds (lot),397,224,AVAIL
GCSS-00082,CAMP-LEJ,Class V,5.56mm rounds (lot),334,82,AVAIL
GCSS-00083,CAMP-LEJ,Class V,5.56mm rounds (lot),359,530,AVAIL
GCSS-00084,CAMP-LEJ,Class VIII,Med kit (lot),243,275,AVAIL
GCSS-00085,CAMP-LEJ,Class VIII,Med kit (lot),524,383,AVAIL
GCSS-00086,CAMP-LEJ,Class VIII,Med kit (lot),370,564,QUARANTINE
GCSS-00087,CAMP-LEJ,Class VIII,Med kit (lot),577,325,QUARANTINE
GCSS-00088,CAMP-LEJ,Class IX,MRAP repair kit,328,161,AVAIL
GCSS-00089,CAMP-LEJ,Class IX,MRAP repair kit,548,477,QUARANTINE
GCSS-00090,CAMP-LEJ,Class IX,MRAP repair kit,527,123,AVAIL
GCSS-00091,CAMP-LEJ,Class IX,MRAP repair kit,277,77,AVAIL
GCSS-00092,CAMP-LEJ,Class IX,MRAP repair kit,233,484,AVAIL
GCSS-00093,CAMP-LEJ,Class IX,MRAP repair kit,560,64,AVAIL
GCSS-00094,CAMP-LEJ,Class IX,MRAP repair kit,317,68,AVAIL
GCSS-00095,CAMP-PEN,Class I,MRE pallet,54,279,AVAIL
GCSS-00096,CAMP-PEN,Class I,MRE pallet,367,281,AVAIL
GCSS-00097,CAMP-PEN,Class I,MRE pallet,439,402,AVAIL
GCSS-00098,CAMP-PEN,Class I,MRE pallet,127,694,AVAIL
GCSS-00099,CAMP-PEN,Class I,MRE pallet,249,292,QUARANTINE
GCSS-00100,CAMP-PEN,Class I,MRE pallet,351,443,QUARANTINE
GCSS-00101,CAMP-PEN,Class I,MRE pallet,404,634,AVAIL
GCSS-00102,CAMP-PEN,Class I,MRE pallet,556,676,AVAIL
GCSS-00103,CAMP-PEN,Class III,JP-8 fuel drum,596,423,AVAIL
GCSS-00104,CAMP-PEN,Class III,JP-8 fuel drum,471,718,QUARANTINE
GCSS-00105,CAMP-PEN,Class III,JP-8 fuel drum,566,65,AVAIL
GCSS-00106,CAMP-PEN,Class III,JP-8 fuel drum,260,377,AVAIL
GCSS-00107,CAMP-PEN,Class III,JP-8 fuel drum,335,443,AVAIL
GCSS-00108,CAMP-PEN,Class III,JP-8 fuel drum,107,557,AVAIL
GCSS-00109,CAMP-PEN,Class III,JP-8 fuel drum,151,296,AVAIL
GCSS-00110,CAMP-PEN,Class III,JP-8 fuel drum,357,90,QUARANTINE
GCSS-00111,CAMP-PEN,Class V,5.56mm rounds (lot),536,263,AVAIL
GCSS-00112,CAMP-PEN,Class V,5.56mm rounds (lot),455,381,QUARANTINE
GCSS-00113,CAMP-PEN,Class V,5.56mm rounds (lot),419,427,AVAIL
GCSS-00114,CAMP-PEN,Class V,5.56mm rounds (lot),193,206,AVAIL
GCSS-00115,CAMP-PEN,Class V,5.56mm rounds (lot),209,527,AVAIL
GCSS-00116,CAMP-PEN,Class V,5.56mm rounds (lot),227,468,QUARANTINE
GCSS-00117,CAMP-PEN,Class VIII,Med kit (lot),440,621,AVAIL
GCSS-00118,CAMP-PEN,Class VIII,Med kit (lot),376,355,AVAIL
GCSS-00119,CAMP-PEN,Class VIII,Med kit (lot),323,90,AVAIL
GCSS-00120,CAMP-PEN,Class VIII,Med kit (lot),230,627,AVAIL
GCSS-00121,CAMP-PEN,Class VIII,Med kit (lot),105,245,AVAIL
GCSS-00122,CAMP-PEN,Class VIII,Med kit (lot),443,561,AVAIL
GCSS-00123,CAMP-PEN,Class IX,MRAP repair kit,299,270,QUARANTINE
GCSS-00124,CAMP-PEN,Class IX,MRAP repair kit,347,665,QUARANTINE
GCSS-00125,CAMP-PEN,Class IX,MRAP repair kit,242,461,AVAIL
GCSS-00126,CAMP-PEN,Class IX,MRAP repair kit,366,602,AVAIL
GCSS-00127,CAMP-PEN,Class IX,MRAP repair kit,264,309,QUARANTINE
GCSS-00128,CAMP-PEN,Class IX,MRAP repair kit,422,656,AVAIL
GCSS-00129,FT-HOOD,Class I,MRE pallet,372,695,AVAIL
GCSS-00130,FT-HOOD,Class I,MRE pallet,446,130,AVAIL
GCSS-00131,FT-HOOD,Class I,MRE pallet,544,575,AVAIL
GCSS-00132,FT-HOOD,Class I,MRE pallet,383,291,QUARANTINE
GCSS-00133,FT-HOOD,Class I,MRE pallet,529,163,AVAIL
GCSS-00134,FT-HOOD,Class I,MRE pallet,436,539,AVAIL
GCSS-00135,FT-HOOD,Class III,JP-8 fuel drum,135,326,AVAIL
GCSS-00136,FT-HOOD,Class III,JP-8 fuel drum,358,335,QUARANTINE
GCSS-00137,FT-HOOD,Class III,JP-8 fuel drum,464,341,AVAIL
GCSS-00138,FT-HOOD,Class III,JP-8 fuel drum,198,79,AVAIL
GCSS-00139,FT-HOOD,Class V,5.56mm rounds (lot),311,332,AVAIL
GCSS-00140,FT-HOOD,Class V,5.56mm rounds (lot),524,301,QUARANTINE
GCSS-00141,FT-HOOD,Class V,5.56mm rounds (lot),446,489,AVAIL
GCSS-00142,FT-HOOD,Class V,5.56mm rounds (lot),341,209,AVAIL
GCSS-00143,FT-HOOD,Class V,5.56mm rounds (lot),468,85,AVAIL
GCSS-00144,FT-HOOD,Class V,5.56mm rounds (lot),536,542,QUARANTINE
GCSS-00145,FT-HOOD,Class VIII,Med kit (lot),453,93,AVAIL
GCSS-00146,FT-HOOD,Class VIII,Med kit (lot),548,400,AVAIL
GCSS-00147,FT-HOOD,Class VIII,Med kit (lot),408,322,AVAIL
GCSS-00148,FT-HOOD,Class VIII,Med kit (lot),366,302,AVAIL
GCSS-00149,FT-HOOD,Class VIII,Med kit (lot),148,221,AVAIL
GCSS-00150,FT-HOOD,Class IX,MRAP repair kit,209,359,QUARANTINE
GCSS-00151,FT-HOOD,Class IX,MRAP repair kit,302,104,QUARANTINE
GCSS-00152,FT-HOOD,Class IX,MRAP repair kit,451,663,QUARANTINE
GCSS-00153,FT-HOOD,Class IX,MRAP repair kit,338,70,AVAIL
GCSS-00154,FT-HOOD,Class IX,MRAP repair kit,75,370,QUARANTINE
GCSS-00155,JBLM,Class I,MRE pallet,51,669,AVAIL
GCSS-00156,JBLM,Class I,MRE pallet,324,685,AVAIL
GCSS-00157,JBLM,Class I,MRE pallet,236,311,QUARANTINE
GCSS-00158,JBLM,Class I,MRE pallet,522,407,QUARANTINE
GCSS-00159,JBLM,Class I,MRE pallet,318,719,AVAIL
GCSS-00160,JBLM,Class I,MRE pallet,357,624,QUARANTINE
GCSS-00161,JBLM,Class III,JP-8 fuel drum,495,323,AVAIL
GCSS-00162,JBLM,Class III,JP-8 fuel drum,51,666,QUARANTINE
GCSS-00163,JBLM,Class III,JP-8 fuel drum,543,615,AVAIL
GCSS-00164,JBLM,Class III,JP-8 fuel drum,116,266,AVAIL
GCSS-00165,JBLM,Class III,JP-8 fuel drum,497,374,AVAIL
GCSS-00166,JBLM,Class III,JP-8 fuel drum,124,320,AVAIL
GCSS-00167,JBLM,Class III,JP-8 fuel drum,264,433,AVAIL
GCSS-00168,JBLM,Class III,JP-8 fuel drum,386,548,AVAIL
GCSS-00169,JBLM,Class V,5.56mm rounds (lot),143,714,AVAIL
GCSS-00170,JBLM,Class V,5.56mm rounds (lot),244,470,AVAIL
GCSS-00171,JBLM,Class V,5.56mm rounds (lot),211,213,QUARANTINE
GCSS-00172,JBLM,Class V,5.56mm rounds (lot),192,197,AVAIL
GCSS-00173,JBLM,Class V,5.56mm rounds (lot),320,62,AVAIL
GCSS-00174,JBLM,Class V,5.56mm rounds (lot),510,361,AVAIL
GCSS-00175,JBLM,Class V,5.56mm rounds (lot),88,654,AVAIL
GCSS-00176,JBLM,Class V,5.56mm rounds (lot),139,222,AVAIL
GCSS-00177,JBLM,Class VIII,Med kit (lot),333,169,AVAIL
GCSS-00178,JBLM,Class VIII,Med kit (lot),92,528,AVAIL
GCSS-00179,JBLM,Class VIII,Med kit (lot),231,557,QUARANTINE
GCSS-00180,JBLM,Class VIII,Med kit (lot),568,655,AVAIL
GCSS-00181,JBLM,Class VIII,Med kit (lot),473,72,QUARANTINE
GCSS-00182,JBLM,Class VIII,Med kit (lot),463,269,QUARANTINE
GCSS-00183,JBLM,Class IX,MRAP repair kit,535,635,QUARANTINE
GCSS-00184,JBLM,Class IX,MRAP repair kit,363,643,AVAIL
GCSS-00185,JBLM,Class IX,MRAP repair kit,298,455,AVAIL
GCSS-00186,JBLM,Class IX,MRAP repair kit,406,209,AVAIL
GCSS-00187,JBLM,Class IX,MRAP repair kit,328,349,AVAIL
GCSS-00188,JBLM,Class IX,MRAP repair kit,463,344,AVAIL
GCSS-00189,JBLM,Class IX,MRAP repair kit,548,678,AVAIL
